Player	Nationality	Position	Years for Jazz	School/Club Team
Mack Calvin	United States	Guard	1979-80	USC
Antoine Carr	United States	Forward-Center	1994-98	Wichita State
Bobby Cattage	United States	Forward	1981-82	Auburn
Tom Chambers	United States	Forward	1993-95	Utah
Calbert Cheaney	United States	Guard-Forward	2002-03	Indiana
Pete Chilcutt	United States	Forward-Center	1999-2000	North Carolina
Keon Clark	United States	Forward-Center	2003-04	UNLV
E. C. Coleman	United States	Forward	1974-77	Houston Baptist
Jarron Collins	United States	Center	2001-2009	Stanford
Jeff Cook	United States	Center	1985-86	Idaho State
Wayne Cooper	United States	Forward-Center	1980-81	New Orleans
Tyrone Corbin	United States	Forward	1991-94	DePaul
Mel Counts	United States	Forward-Center	1974-76	Oregon State
John Crotty	United States	Guard	1992-95; 2000-02	Virginia
Corey Crowder	United States	Guard-Forward	1991-92	Kentucky Wesleyan
Pat Cummings	United States	Center	1990-91	Cincinnati
William Cunningham	United States	Center	1997-98	Temple
Dell Curry	United States	Guard	1986-87	Virginia Tech
