Heat	Lane	Name	Nationality	Time
6	7	Davide Rummolo	Italy	2:12.75
4	5	Daniel Málek	Czech Republic	2:14.10
7	2	Morgan Knabe	Canada	2:14.18
7	7	Maxim Podoprigora	Austria	2:14.37
5	6	Ryan Mitchell	Australia	2:14.69
7	4	Stéphan Perrot	France	2:14.79
7	6	Regan Harrison	Australia	2:14.85
5	7	Martin Gustavsson	Sweden	2:15.02
6	2	Domenico Fioravanti	Italy	2:15.04
6	3	Terence Parkin	South Africa	2:15.06
6	1	Norbert Rózsa	Hungary	2:15.27
6	4	Yohann Bernard	France	2:15.35
5	3	Akira Hayashi	Japan	2:15.54
6	5	Kyle Salyards	United States	2:15.57
2	2	Alexander Tkachev	Kyrgyzstan	2:15.63
7	5	Dmitry Komornikov	Russia	2:15.70
7	3	Kosuke Kitajima	Japan	2:15.71
4	3	Marek Krawczyk	Poland	2:16.08
4	4	Valērijs Kalmikovs	Latvia	2:16.21
5	4	Roman Sloudnov	Russia	2:16.26
5	5	Tom Wilkens	United States	2:16.30
5	8	Aliaksandr Hukau	Belarus	2:16.93
5	1	Benno Kuipers	Netherlands	2:17.03
6	6	Adam Whitehead	Great Britain	2:17.16
4	8	Jakob Jóhann Sveinsson	Iceland	2:17.86
7	8	José Couto	Portugal	2:18.08
4	1	Andrew Bree	Ireland	2:18.14
2	6	Oleg Lisogor	Ukraine	2:18.28
3	2	Joe Kyong-Fan	South Korea	2:19.16
3	5	Li Tsung-Chueh	Chinese Taipei	2:19.30
4	7	Steven Ferguson	New Zealand	2:19.31
4	6	Tal Stricker	Israel	2:19.33
3	4	Raiko Pachel	Estonia	2:19.71
2	3	Jarno Pihlava	Finland	2:19.76
3	8	Francisco Suriano	El Salvador	2:20.10
2	5	Jeremy Knowles	Bahamas	2:20.31
1	4	Andrés Bicocca	Argentina	2:20.98
5	2	Zhu Yi	China	2:21.60
3	6	Alvaro Fortuny	Guatemala	2:21.78
3	1	Muhammad Akbar Nasution	Indonesia	2:23.81
4	2	Ratapong Sirisanont	Thailand	2:23.95
3	7	Tam Chi Kin	Hong Kong	2:24.04
3	3	Juan José Madrigal	Costa Rica	2:24.49
7	1	Elvin Chia	Malaysia	2:26.84
1	3	Nguyen Ngoc Anh	Vietnam	2:29.54
2	7	Sergey Voytsekhovich	Uzbekistan	2:30.23
1	5	Leonard Ngoma	Zambia	2:32.90
2	4	Vadim Tatarov	Moldova	DNS
6	8	Jens Kruppa	Germany	DNS
