Round	Pick #	Overall	Name	Position	College
1	20	20	Steve Broussard	Running Back	Washington State
2	2	27	Darion Conner	Linebacker	Jackson State
3	2	55	Oliver Barnett	Defensive End	Kentucky
5	12	121	Reggie Redding	Offensive Tackle	Cal State-Fullerton
6	2	139	Mike Pringle	Running Back	Cal State-Fullerton
8	2	195	Tory Epps	Defensive Tackle	Memphis State
9	2	222	Darrell Jordan	Linebacker	Northern Arizona
10	2	250	Donnie Salum	Linebacker	Arizona
11	2	278	Chris Ellison	Defensive Back	Houston
12	1	305	Shawn McCarthy	Punter	Purdue
