Spacecraft	Destination	Launched	Closest approach	Time elapsed
Pioneer 10	Jupiter	3 March 1972	3 December 1973	641 days (1 yr, 9 mos, 1 d)
Pioneer 11	Jupiter	6 April 1973	4 December 1974	608 days (1 yr, 7 mo, 29 d)
Pioneer 11	Saturn	6 April 1973	1 September 1979	2340 days (6 yr, 4 mo, 27 d)
Mars 4	Mars	21 July 1973	10 February 1974	205 days (6 months, 21 days)
Mars 6	Mars	5 August 1973	12 March 1974	220 days (7 months, 8 days)
Mars 7	Mars	9 August 1973	9 March 1974	213 days (7 months, 1 day)
Mariner 10	Venus	3 November 1973	5 February 1974	95 days (3 months, 3 days)
Mariner 10	Mercury	3 November 1973	29 March 1974	147 days (4 months, 27 days)
Mariner 10	Mercury	3 November 1973	21 September 1974	323 days (10 months, 19 days)
Mariner 10	Mercury	3 November 1973	16 March 1975	499 days (1 yr, 4 mo, 14 d)
Voyager 2	Jupiter	20 August 1977	9 July 1979	689 days (1 yr, 10 mo, 20 d)
Voyager 2	Saturn	20 August 1977	5 August 1981	1447 days (3 yr, 11 mo, 17 d)
Voyager 2	Uranus	20 August 1977	24 January 1986	3080 days (8 yr, 5 mo, 5 d)
Voyager 2	Neptune	20 August 1977	25 August 1989	4389 days (12 yr, 6 days)
Voyager 1	Jupiter	5 September 1977	5 March 1979	547 days (1 yr, 6 mo, 1 d)
Voyager 1	Saturn	5 September 1977	12 November 1980	1165 days (3 yr, 2 mo, 8 d)
ICE	Comet 21P/Giacobini-Zinner	12 August 1978	11 September 1985	2588 days (7 yr, 1 mo)
ICE	Comet 1P/Halley	12 August 1978	28 March 1986	2786 days (7 yr, 7 mo, 17 d)
Venera 11	Venus	9 September 1978	25 December 1978	108 days (3 months, 17 days)
Venera 12	Venus	14 September 1978	19 December 1978	97 days (3 months, 6 days)
