Version	Length	Album	Remixed by	Year
Album version	3:49	Cendres de Lune	Laurent Boutonnat	1986
Single version	3:30	—	—	1986
Long version	4:30	—	Laurent Boutonnat	1986
Instrumental	3:31	Les Clips , Music Videos I	—	1986
Remix	4:35	—	Laurent Boutonnat	1986
New remix	3:35	—	Thierry Rogen	1986
Soundtrack from the video	3:22	Les Clips , Music Videos I	—	1986
Remix special club	5:53	Cendres de Lune	Laurent Boutonnat	1986
Live version (recorded in 1989)	12:00	En Concert	—	1989
Carnal sins remix	7:00	Dance Remixes	Laurent Boutonnat	1992
Live version (recorded in 1996)	5:40	Live à Bercy	—	1996
Live version (recorded in 2000)	0:30	Mylenium Tour	—	2000
Album version	3:30	Les Mots	Laurent Boutonnat	2001
Y-Front remix	4:02	RemixeS	Y-Front	2003
Live version (recorded in 2009)	5:35	N°5 on Tour	—	2009
