Track	Recorded	Catalogue	Release Date	Song Title	Writer(s)	Time
1.	1/13/69	LSP 4155	6/17/69	Long Black Limousine	Bobby George and Vern Stovall	3:37
2.	1/13/69	LSP 6020	11/69	This Is the Story	Calvin Arnold , David Martin , Geoff Morrow	2:28
3.	1/13/69	LSP 4155	6/17/69	Wearin' That Loved On Look	A.L. Owens and Dallas Frazier	2:44
4.	1/14/69	47-9764b	8/26/69	You'll Think of Me	Mort Shuman	3:58
5.	1/14/69	LSP 6020	11/69	A Little Bit of Green	Calvin Arnold , David Martin , Geoff Morrow	3:21
6.	1/14/69	LSP 4155	6/17/69	I'm Moving On	Hank Snow	2:52
7.	1/14/69	LSP 4155	6/17/69	Gentle On My Mind	John Hartford	3:20
8.	1/15/69	47-9768	11/11/69	Don't Cry Daddy	Mac Davis	2:46
9.	1/15/69	LSP 6020	11/69	Inherit the Wind	Eddie Rabbitt	2:56
10.	1/15/69	47-9835b	4/20/70	Mama Liked the Roses	John Christopher	2:47
11.	1/16/69	47-9791b	1/29/70	My Little Friend	Shirl Milete	2:43
12.	1/20/69	47-9741	4/14/69	In the Ghetto	Mac Davis	2:45
13.	1/20/69	47-9768b	11/11/69	Rubberneckin'	Dory Jones and Bunny Warren	2:09
14.	1/21/69	LSP 6020	11/69	From A Jack To A King	Ned Miller	2:23
15.	1/21/69	LSP 4671	2/20/72	Hey Jude	John Lennon and Paul McCartney	4:29
16.	1/22/69	LSP 6020	11/69	Without Love	Danny Small	2:51
17.	1/22/69	LSP 4155	6/17/69	I'll Hold You In My Heart	Eddy Arnold , Thomas Dilbeck , Vaughan Horton	4:32
18.	1/22/69	CAS 2408	4/70	I'll Be There	Bobby Darin	2:21
19.	1/22/69	47-9764	8/26/69	Suspicious Minds	Mark James	3:28
20.	2/17/69	LSP 4155	6/17/69	True Love Travels On A Gravel Road	Dallas Frazier and A.L. Owens	2:37
21.	2/17/69	LSP 6020	11/69	Stranger In My Own Home Town	Percy Mayfield	4:23
22.	2/17/69	LSP 6020	11/69	And the Grass Won't Pay No Mind	Neil Diamond	3:08
23.	2/18/69	LSP 4155	6/17/69	Power of My Love	Bernie Baum , Bill Giant, Florence Kaye	2:34
