Game	March	Opponent	Score	Record
64	2	Boston Bruins	2 - 1	30-25-9
65	5	Buffalo Sabres	4 - 2	31-25-9
66	8	@ Montreal Canadiens	5 - 2	31-26-9
67	9	Minnesota North Stars	4 - 2	32-26-9
68	12	Colorado Rockies	6 - 0	33-26-9
69	15	@ Toronto Maple Leafs	8 - 4	34-26-9
70	16	St. Louis Blues	5 - 2	35-26-9
71	19	@ Edmonton Oilers	4 - 2	35-27-9
72	21	@ Winnipeg Jets	4 - 2	35-28-9
73	23	Montreal Canadiens	6 - 1	35-29-9
74	25	Buffalo Sabres	3 - 3	35-29-10
75	28	@ Atlanta Flames	4 - 2	35-30-10
76	29	@ St. Louis Blues	4 - 3	36-30-10
77	31	Detroit Red Wings	7 - 5	37-30-10
