Frequency	Call sign	Format	Owner	Notes
FM 88.1	VF2522	tourist information	Cameron Bell Consultancy	licensed to Chilliwack
FM 88.5	CBU-1-FM	news / talk	Canadian Broadcasting Corporation	licensed to Abbotsford
FM 89.5	CHWK-FM	active rock	FABMAR Communications	licensed to Chilliwack
FM 91.7	CBYF-FM	news / talk	Canadian Broadcasting Corporation	licensed to Chilliwack
FM 92.5	CFUN-FM-1	Contemporary Hit Radio	Rogers Media	licensed to Abbotsford
FM 96.7	CBYH-FM	news / talk	Canadian Broadcasting Corporation	licensed to Harrison Hot Springs
FM 98.3	CKSR-FM	adult contemporary	Rogers Media	licensed to Chilliwack
FM 99.9	CBU-FM-7	public music	Canadian Broadcasting Corporation	licensed to Chilliwack
FM 100.5	CFSR-FM	adult contemporary	Rogers Media	licensed to Hope
FM 101.7	CIVL-FM	campus radio	University of the Fraser Valley	licensed to Abbotsford
FM 101.7	CBUE-FM	news / talk	Canadian Broadcasting Corporation	licensed to Hope
FM 102.1	CBUF-FM-1	news / talk	Canadian Broadcasting Corporation	licensed to Chilliwack
FM 107.1	CKQC-FM	country	Rogers Media	licensed to Abbotsford
FM 107.5	CFUN-FM	Contemporary Hit Radio	Rogers Media	licensed to Chilliwack
