Sd	Player	Points	Points defending	Points won	New points	Status
2	Dinara Safina	7600	1400	280	6480	Retired in 4th round to Maria Kirilenko
3	Svetlana Kuznetsova	6081	500	280	5861	4th round lost to Nadia Petrova [19]
4	Caroline Wozniacki	5785	160	280	5905	4th round lost to Li Na [16]
5	Elena Dementieva	5505	900	100	4705	2nd round lost to Justine Henin [WC]
6	Venus Williams	5126	100	500	5526	Quarterfinal lost to Li Na [16]
7	Victoria Azarenka	4740	280	500	4960	Quarterfinal lost to Serena Williams [1]
8	Jelena Janković	3965	280	160	3845	3rd round lost to Alyona Bondarenko [31]
9	Vera Zvonareva	3560	900	280	2940	4th round lost to Victoria Azarenka [7]
10	Agnieszka Radwańska	3450	5	160	3605	3rd round lost to Francesca Schiavone [17]
11	Marion Bartoli	3325	500	160	2985	3rd round lost Zheng Jie
12	Flavia Pennetta	3200	160	100	3140	2nd round lost to Yanina Wickmayer [Q]
13	Samantha Stosur	3045	160	280	3165	4th round lost to Serena Williams [1]
14	Maria Sharapova	2820	0	5	2825	1st round lost to Maria Kirilenko
15	Kim Clijsters	2620	0	160	2780	3rd round lost Nadia Petrova [19]
16	Li Na	2541	0	900	3441	Semifinal lost to Serena Williams [1]
17	Francesca Schiavone	2445	5	280	2720	4th round lost to Venus Williams [6]
18	Virginie Razzano	2200	160	5	2045	1st round lost to Ekaterina Makarova
19	Nadia Petrova	2220	280	500	2440	Quarterfinal lost to Justine Henin [WC]
20	Ana Ivanovic	2127	160	100	2067	2nd round lost to Gisela Dulko
21	Sabine Lisicki	2035	100	100	2035	2nd round lost to Alberta Brianti
22	Daniela Hantuchová	1985	160	160	1985	3rd round lost to Li Na [16]
23	Dominika Cibulková	2063	280	5	1788	1st round lost Vania King
24	María José Martínez Sánchez	1970	160	100	1910	2nd round lost to Zheng Jie
25	Anabel Medina Garrigues	1980	280	5	1705	1st round lost to Karolina Šprem
26	Aravane Rezaï	2055	5	100	2150	2nd round lost to Angelique Kerber [Q]
27	Alisa Kleybanova	1870	280	160	1750	3rd round lost Justine Henin [WC]
28	Elena Vesnina	1900	5	5	1900	1st round lost to Tathiana Garbin
29	Shahar Pe'er	1930	5	160	2085	3rd round lost to Caroline Wozniacki [4]
30	Kateryna Bondarenko	1740	160	100	1680	2nd round lost to Elena Baltacha
31	Alyona Bondarenko	1900	160	280	2020	4th round lost to Zheng Jie
