Name	Years	Area	Authority	Decile	Roll
Bailey Road School	1–8	Mount Wellington	State	3	415
Ellerslie School	1–8	Ellerslie	State	7	578
Glen Innes School	1–8	Glen Innes	State	1	200
Glenbrae Primary School	1–8	Glen Innes	State	1	183
Golden Grove School	1–8	Onehunga	Private	n/a	31
Onehunga Primary School	1–6	Onehunga	State	4	406
Oranga School	1–6	One Tree Hill	State	3	310
Panama Road School	1–6	Otahuhu	State	1	204
Panmure Bridge School	1–8	Panmure	State	1	233
Panmure District School	1–8	Panmure	State	3	148
Point England School	1–8	Panmure	State	1	631
Royal Oak Intermediate	7-8	Royal Oak	State	4	423
Ruapotaka School	1–8	Panmure	State	1	200
St Joseph's School	1–8	Onehunga	State integrated	3	264
St Mary's School	1–8	Ellerslie	State integrated	6	341
St Patrick's School	1–8	Panmure	State integrated	2	113
St Pius X Catholic School	1–8	Glen Innes	State integrated	1	151
Stanhope Road School	1–8	Mount Wellington	State	4	462
Sylvia Park School	1–8	Mount Wellington	State	2	411
Tamaki School	1–6	Panmure	State	1	249
Te Papapa School	1–6	Onehunga	State	2	258
