Place	Player	Country	Score	To par	Money ( $ )
1	Hubert Green	United States	69-67-72-70=278	–2	45,000
2	Lou Graham	United States	72-71-68-68=279	–1	23,500
3	Tom Weiskopf	United States	71-71-68-71=281	+1	16,000
4	Tom Purtzer	United States	69-69-72-72=282	+2	13,000
T5	Jay Haas	United States	72-68-71-72=283	+3	10,875
T5	Gary Jacobsen	United States	73-70-67-73=283	+3	10,875
T7	Terry Diehl	United States	69-68-73-74=284	+4	8,000
T7	Lyn Lott	United States	73-73-68-70=284	+4	8,000
T7	Tom Watson	United States	74-72-71-67=284	+4	8,000
T10	Rod Funseth	United States	69-70-72-74=285	+5	4,100
T10	Al Geiberger	United States	70-71-75-69=285	+5	4,100
T10	Mike McCullough	United States	73-73-69-70=285	+5	4,100
T10	Jack Nicklaus	United States	74-68-71-72=285	+5	4,100
T10	Peter Oosterhuis	England	71-70-74-70=285	+5	4,100
T10	Gary Player	South Africa	72-67-71-75=285	+5	4,100
