No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
350	1	"Red Ball"	Matthew Penn	David Wilcox	September21,2005	16001	13.03
351	2	"Flaw"	Jean de Segonzac	Chris Levinson	September28,2005	16002	15.06
352	3	"Ghosts"	Constantine Makris	Rick Eid	October5,2005	16003	12.59
353	4	"Age of Innocence"	David Platt	Davey Holmes	October12,2005	16005	10.92
354	5	"Life Line"	Rosemary Rodriguez	Greg Plageman	October19,2005	16006	12.33
355	6	"Birthright"	Constantine Makris	David Slack	November2,2005	16007	12.57
356	7	"House of Cards"	Michael Pressman	Wendy Battles	November9,2005	16008	10.86
357	8	" New York Minute "	Don Scardino	Nicholas Wootton	November16,2005	16009	11.44
358	9	"Criminal Law"	Ed Sherin	David Wilcox	November23,2005	16010	11.93
359	10	"Acid"	Michael Pressman	Richard Sweren	November30,2005	16011	12.87
360	11	"Bible Story"	Rick Wallace	Richard Sweren	December7,2005	16004	12.13
361	12	"Family Friend"	Jean de Segonzac	Philippe Browning	January11,2006	16012	12.83
362	13	"Heart of Darkness"	Richard Dobbs	Carter Harris	January18,2006	16013	12.38
363	14	"Magnet"	Adam Bernstein	David Black	February8,2006	16014	14.53
364	15	"Choice of Evils"	Michael Pressman	David Wilcox	March1,2006	16016	12.39
365	16	"Cost of Capital"	Michael W. Watkins	Tom Smuts & Rick Eid	March8,2006	16010	11.79
366	17	"America, Inc."	Jean de Segonzac	Richard Sweren	March22,2006	16017	9.00
367	18	"Thinking Makes It So"	Tony Goldwyn	Michael S. Chernuchin	March29,2006	16019	9.35
368	19	"Positive"	Richard Dobbs	Sonny Postiglione	April5,2006	16020	10.84
369	20	"Kingmaker"	Don Scardino	David Slack	May3,2006	16018	10.66
370	21	"Hindsight"	Jean de Segonzac	Chris Levinson	May10,2006	16021	12.68
