Year	Alabama	Arkansas	Auburn	Ole Miss	Mississippi St.
1994	Lee Roy Jordan	Lance Alworth	Tracy Rocker	Charlie Conerly	Johnny Baker
1995	Harry Gilmer	Joe Ferguson	Tucker Frederickson	Barney Poole	Jimmy Webb
1996	Billy Neighbors	Chuck Dicus	Joe Cribbs	Johnny Vaught	Hunter Corhern
1997	John Hannah	Jim Benton	Zeke Smith	John "Kayo" Dottley	Steve Freeman
1998	Holt Rast	Clyde Scott	Pat Sullivan	Archie Manning	Johnie Cooks
1999	Johnny Musso	Bill Montgomery	Jackie Burkett	Charlie Flowers	D. D. Lewis
2000	Dwight Stephenson	Ronnie Caveness	Stacy Danley	Robert Khayat	Kent Hull
2001	Joe Namath	Steve Atwater	Mike Kolen	Ray Poole	Rockey Felker
2002	Vaughn Mancha	Loyd Phillips	Terry Beasley	Ben Williams	Harper Davis
2003	Jeremiah Castille	Wayne Harris	Steve Wallace	Billy Ray Adams	Tyrone Keys
2004	Bob Baumhower	Fred Marshall	Jimmy "Red" Phillips	Allen Brown	Art Davis
2005	Cornelius Bennett	Quinn Grovey	Ed Dyas	Andre Townsend	Joe Fortunato
2006	Steve Sloan	Cliff Powell	Bo Jackson	Jake Gibbs	Wayne Harris
2007	Ken Stabler	Ken Hatfield	Ken Rice	Wesley Walls	Billy Jackson
2008	Bart Starr	Billy Ray Smith, Jr.	Al Del Greco	Bobby Ray Franklin	Tom Goode
2009	Antonio Langham	Gary Anderson	Quentin Riggins	Jimmy Lear	Billy Stacy
2010	Cornelius Griffin	Frank Broyles	Gregg Carr	Everett Lindsay	Eric Moulds
2011	Dennis Homan	Leotis Harris	J. D. "Buddy" McClinton	Deuce McAllister	Tom Neville
2012	Paul Crane	Pat Summerall	James C. Owens	Glynn Griffing	Walt Harris
2013	Marty Lyons	Wayne Martin	Frank Sanders	Jeff Herrod	Glen Collins
