Crowd	Venue	Home Team	Opponent	Round
50,109	Suncorp Stadium (Double Header)	Brisbane Broncos Bulldogs RLFC	South Sydney Rabbitohs Gold Coast Titans	Round 19
45,022	Suncorp Stadium	Brisbane Broncos	North Queensland Cowboys	Round 1
43,079	Suncorp Stadium	Brisbane Broncos	Gold Coast Titans	Round 10
42,435	Suncorp Stadium	Brisbane Broncos	St George Illawarra Dragons	Round 4
41,835	ANZ Stadium	Bulldogs RLFC	New Zealand Warriors	Round 25
36,647	Suncorp Stadium	Brisbane Broncos	Melbourne Storm	Round 2
35,112	Suncorp Stadium	Brisbane Broncos	Canberra Raiders	Round 26
34,272	Sydney Football Stadium	Wests Tigers	Parramatta Eels	Round 24
32,456	Suncorp Stadium	Brisbane Broncos	New Zealand Warriors	Round 17
31,664	ANZ Stadium	Bulldogs RLFC	Parramatta Eels	Round 20
30,887	Suncorp Stadium	Brisbane Broncos	Parramatta Eels	Round 7
29,970	Sydney Cricket Ground	Wests Tigers	South Sydney Rabbitohs	Round 10
28,926	Sydney Football Stadium	Sydney Roosters	St George Illawarra Dragons	Round 7
27,527	Suncorp Stadium	Brisbane Broncos	Manly-Warringah Sea Eagles	Round 9
26,353	Suncorp Stadium	Brisbane Broncos	Bulldogs RLFC	Round 14
26,336	Skilled Park	Gold Coast Titans	Brisbane Broncos	Round 20
25,622	ANZ Stadium	Bulldogs RLFC	Wests Tigers	Round 8
25,305	Suncorp Stadium	Brisbane Broncos	Penrith Panthers	Round 23
24,538	Mt Smart Stadium	New Zealand Warriors	Brisbane Broncos	Round 3
24,486	Sydney Football Stadium	Sydney Roosters	South Sydney Rabbitohs	Round 1
24,332	Dairy Farmers Stadium	North Queensland Cowboys	Brisbane Broncos	Round 25
