Rider	Manufacturer	Laps	Time/Retired	Grid
Manuel Poggiali	Aprilia	19	41:36.284	23
Hiroshi Aoyama	Honda	19	+1.373	1
Yuki Takahashi	Honda	19	+1.496	7
Sebastián Porto	Honda	19	+1.700	6
Franco Battaini	Aprilia	19	+11.771	16
Fonsi Nieto	Aprilia	19	+13.220	9
Roberto Rolfo	Honda	19	+13.497	4
Naoki Matsudo	Yamaha	19	+14.027	5
Tekkyu Kayoh	Yamaha	19	+24.546	12
Sylvain Guintoli	Aprilia	19	+42.722	8
Alex Debón	Honda	19	+43.246	3
Erwan Nigon	Aprilia	19	+47.871	21
Joan Olivé	Aprilia	19	+1:09.405	30
Johan Stigefelt	Aprilia	19	+1:09.779	13
Jakub Smrž	Honda	19	+1:21.048	10
Eric Bataille	Honda	19	+1:21.788	28
Jaroslav Huleš	Yamaha	19	+1:35.538	15
Chaz Davies	Aprilia	19	+1:38.489	29
Henk vd Lagemaat	Honda	19	+1:41.507	25
Katja Poensgen	Honda	18	+1 lap	26
Héctor Faubel	Aprilia	18	Accident	18
Christian Gemmel	Honda	17	Accident	24
Alex Baldolini	Aprilia	17	Retirement	11
Anthony West	Aprilia	15	Accident	17
Toni Elías	Aprilia	14	Retirement	27
Katsuyuki Nakasuga	Yamaha	10	Accident	2
Randy de Puniet	Aprilia	4	Retirement	20
Dirk Heidolf	Aprilia	0	Accident	19
Tomoyoshi Koyama	Yamaha	0	Accident	22
Hugo Marchand	Aprilia	0	Retirement	14
