Date	Venue	Score	Result	Competition
13 October 2007	Štadión Zimný , Dubnica , Slovakia	1 – 0	7–0	UEFA Euro 2008 qualifying
21 November 2007	Stadio Olimpico , Serravalle , San Marino	3 – 0	5–0	UEFA Euro 2008 qualifying
6 September 2008	Tehelné pole , Bratislava , Slovakia	2 – 0	2–1	2010 FIFA World Cup qualification
19 November 2008	Stadium Pod Dubňom , Žilina , Slovakia	1 – 0	4–0	Friendly match
19 November 2008	Stadium Pod Dubňom , Žilina , Slovakia	2 – 0	4–0	Friendly match
10 February 2009	Tsirion Stadium , Limassol , Cyprus	2 – 0	2–3	Friendly match
5 September 2009	Tehelné pole , Bratislava , Slovakia	2 – 1	2–2	2010 FIFA World Cup qualification
14 November 2009	Tehelné pole , Bratislava , Slovakia	1 – 0	1–0	Friendly match
15 August 2012	TRE-FOR Park , Odense , Denmark	2 – 1	3–1	Friendly match
12 October 2012	Štadión Pasienky , Bratislava , Slovakia	1 – 0	2–1	2014 FIFA World Cup qualification
10 September 2013	Štadión pod Dubňom , Žilina , Slovakia	1 – 0	1–2	2014 FIFA World Cup qualification
Correct as of 10 September 2013	Correct as of 10 September 2013	Correct as of 10 September 2013	Correct as of 10 September 2013	Correct as of 10 September 2013
