Townland	Area( acres )	Barony	Civil parish	Poor law union
Aghada	488	Imokilly	Aghada	Middleton
Aghadoe	348	Imokilly	Killeagh	Youghal
Aghavine	586	Imokilly	Kilmacdonogh	Youghal
Annistown	123	Imokilly	Mogeely	Middleton
Ardnabourkey	341	Imokilly	Corkbeg	Middleton
Ardnahinch	149	Imokilly	Kilmahon	Middleton
Ardra Beg	184	Imokilly	Rostellan	Middleton
Ardra More	278	Imokilly	Rostellan	Middleton
Attiquin	75	Imokilly	Ballyoughtera	Middleton
Aughane	78	Imokilly	Rostellan	Middleton
Bakersclose	24	Imokilly	Killeagh	Youghal
Ballinacarroonig	244	Imokilly	Aghada	Middleton
Ballinbeg	96	Imokilly	Aghada	Middleton
Ballincourlea	144	Imokilly	Ightermurragh	Middleton
Ballincurrig	200	Imokilly	Titeskin	Middleton
Ballindinis	110	Imokilly	Mogeely	Middleton
Ballindinis	2	Imokilly	Killeagh	Middleton
Ballindinis	37	Imokilly	Ightermurragh	Middleton
Ballingarrane	169	Imokilly	Kilmahon	Middleton
Ballingarrane	219	Imokilly	Cloyne	Middleton
Ballinrostig	282	Imokilly	Rostellan	Middleton
Ballinteosig	815	Imokilly	Ardagh	Youghal
Ballintotis	438	Imokilly	Ballyoughtera	Middleton
Ballintra East	59	Imokilly	Corkbeg	Middleton
Ballintra West	70	Imokilly	Corkbeg	Middleton
Ballintrim	210	Imokilly	Titeskin	Middleton
Ballinvarrig Lower	188	Imokilly	Clonpriest	Youghal
Ballinvarrig Upper	304	Imokilly	Clonpriest	Youghal
Ballinvoher	23	Imokilly	Ballintemple	Middleton
Ballinvoher	247	Imokilly	Cloyne	Middleton
Ballinwillin	140	Imokilly	Cloyne	Middleton
Ballyandreen	74	Imokilly	Ballintemple	Middleton
Ballybane	491	Imokilly	Cloyne	Middleton
Ballybraher	194	Imokilly	Cloyne	Middleton
Ballybraher	374	Imokilly	Kilmahon	Middleton
Ballybraher	84	Imokilly	Ballyoughtera	Middleton
Ballybranagan	317	Imokilly	Titeskin	Middleton
Ballybranagh	218	Imokilly	Cloyne	Middleton
Ballybutler	327	Imokilly	Garryvoe	Middleton
Ballycarnane	162	Imokilly	Killeagh	Youghal
Ballycatoo	266	Imokilly	Ballintemple	Middleton
Ballyclamasy	39	Imokilly	Youghal	Youghal
Ballycolman	467	Imokilly	Ardagh	Youghal
Ballycottin	466	Imokilly	Cloyne	Middleton
Ballycottin Island (small)	4	Imokilly	Cloyne	Middleton
Ballycottin Island	9	Imokilly	Cloyne	Middleton
Ballycrenane	297	Imokilly	Cloyne	Middleton
Ballycrenane	511	Imokilly	Kilcredan	Middleton
Ballycrenane Beg	102	Imokilly	Mogeely	Middleton
Ballycroneen East	7	Imokilly	Cloyne	Middleton
Ballycroneen West	401	Imokilly	Cloyne	Middleton
Ballycurraginny	311	Imokilly	Killeagh	Youghal
Ballydaheen	132	Imokilly	Clonpriest	Youghal
Ballydaheen	16	Imokilly	Ardagh	Youghal
Ballydaniel	1157	Imokilly	Ardagh	Youghal
Ballydaniel	408	Imokilly	Kilmacdonogh	Youghal
Ballydavid	148	Imokilly	Cloyne	Middleton
Ballydekin	257	Imokilly	Middleton	Middleton
Ballyduff	316	Imokilly	Cloyne	Middleton
Ballydwyre	136	Imokilly	Rostellan	Middleton
Ballyfin	355	Imokilly	Inch	Middleton
Ballyfin	5	Imokilly	Cloyne	Middleton
Ballyfleming	264	Imokilly	Kilmacdonogh	Youghal
Ballygeany	234	Imokilly	Cloyne	Middleton
Ballygibbon	208	Imokilly	Mogeely	Middleton
Ballyglassin	475	Imokilly	Killeagh	Youghal
Ballyglavin	272	Imokilly	Ardagh	Youghal
Ballygrunna	170	Imokilly	Ardagh	Youghal
Ballyhimikin	318	Imokilly	Garryvoe	Middleton
Ballyhobert	316	Imokilly	Youghal	Youghal
Ballyhonock	106	Imokilly	Kilmacdonogh	Youghal
Ballyhonock	347	Imokilly	Ightermurragh	Middleton
Ballyhook	439	Imokilly	Corkbeg	Middleton
