Heat	Lane	Name	Nationality	Time
4	4	Larsen Jensen	United States	3:43.10
3	5	Zhang Lin	China	3:43.32
3	4	Park Tae-Hwan	South Korea	3:43.35
4	6	Nikita Lobintsev	Russia	3:43.45
5	4	Grant Hackett	Australia	3:44.03
5	5	Peter Vanderkaay	United States	3:44.22
4	5	Oussama Mellouli	Tunisia	3:44.54
5	3	Yuri Prilukov	Russia	3:44.82
5	2	Ryan Cochrane	Canada	3:44.85
3	2	Takeshi Matsuda	Japan	3:44.99
3	3	Federico Colbertaldo	Italy	3:45.28
4	8	Mads Glæsner	Denmark	3:45.38
4	3	Massimiliano Rosolino	Italy	3:45.57
3	1	Nicolas Rostoucher	France	3:47.15
5	7	David Carry	Great Britain	3:47.17
5	1	Sergey Fesenko	Ukraine	3:47.75
5	8	Dragoș Coman	Romania	3:47.79
3	7	Paul Biedermann	Germany	3:48.03
5	6	Przemysław Stańczyk	Poland	3:48.11
2	5	David Brandl	Austria	3:48.63
3	8	Dean Milwain	Great Britain	3:48.77
4	7	Paweł Korzeniowski	Poland	3:48.78
2	4	Sébastien Rouault	France	3:48.84
2	3	Spyridon Gianniotis	Greece	3:49.34
3	6	Craig Stevens	Australia	3:50.22
1	5	Gard Kvale	Norway	3:50.47
2	7	Dominik Meichtry	Switzerland	3:50.55
4	2	Sun Yang	China	3:50.90
4	1	Christian Kubusch	Germany	3:52.73
2	6	Jean Basson	South Africa	3:52.90
1	4	Daniele Tirabassi	Venezuela	3:53.26
2	8	Balázs Gercsák	Hungary	3:54.14
1	3	Květoslav Svoboda	Czech Republic	3:56.54
2	2	Jon Raahauge Rud	Denmark	3:57.41
1	6	Juan Martín Pereyra	Argentina	3:59.35
1	2	Oleg Rabota	Kazakhstan	4:02.16
2	1	Luka Turk	Slovenia	DNS
