Week	Date	Opponent	Result	Attendance
1	September 13, 1964	at San Francisco 49ers	W 26-17	33,204
2	September 19, 1964	at Los Angeles Rams	T 17-17	52,001
3	September 28, 1964	Green Bay Packers	L 14-10	59,203
4	October 4, 1964	New York Giants	W 26-3	54,836
5	October 11, 1964	at Minnesota Vikings	W 24-20	40,840
6	October 18, 1964	at Chicago Bears	W 10-0	47,567
7	October 25, 1964	Baltimore Colts	L 34-0	57,814
8	November 1, 1964	Los Angeles Rams	W 37-17	52,064
9	November 8, 1964	at Green Bay Packers	L 30-7	42,327
10	November 15, 1964	at Cleveland Browns	L 37-21	83,064
11	November 22, 1964	Minnesota Vikings	T 23-23	48,291
12	November 26, 1964	Chicago Bears	L 27-24	52,231
13	December 6, 1964	at Baltimore Colts	W 31-14	60,213
14	December 13, 1964	San Francisco 49ers	W 24-7	41,854
