Week	Date	Opponent	Result	Attendance
1	September 27, 1959	at Chicago Cardinals	L 49-21	21,892
2	October 4, 1959	at Pittsburgh Steelers	W 23-17	26,570
3	October 11, 1959	Chicago Cardinals	W 23-14	25,937
4	October 18, 1959	Pittsburgh Steelers	L 27-6	28,218
5	October 25, 1959	at Cleveland Browns	L 34-7	42,732
6	November 1, 1959	at Philadelphia Eagles	L 30-23	39,854
7	November 8, 1959	Baltimore Colts	W 27-24	32,773
8	November 15, 1959	Cleveland Browns	L 31-17	32,266
9	November 22, 1959	at Green Bay Packers	L 21-0	31,853
10	November 29, 1959	at New York Giants	L 45-14	60,982
11	December 6, 1959	Philadelphia Eagles	L 34-14	24,325
12	December 13, 1959	New York Giants	L 24-10	26,198
