Song	Performer	Original artist	Length	Recorded
"Out on the Weekend"	Girls in Hawaii	Neil Young	3:30	4/19/06
"I Go to Sleep"	Sia	The Pretenders	2:58	1/10/06
" Crazy in Love "	The Magic Numbers	Beyoncé	4:08	11/01/05
" Creep "	Damien Rice	Radiohead	4:04	1/24/03
"I Want a Little Sugar in My Bowl"	Nikka Costa	Nina Simone	2:11	5/23/05
" Fire and Rain "	Dido	James Taylor	3:18	8/14/03
"Wishing on a Star"	Paul Weller	Rose Royce	3:34	9/12/05
"Harvest"	Rufus Wainwright with Chris Stills	Neil Young	3:18	9/29/03
"Gentle on My Mind"	R.E.M.	John Hartford	2:19	6/12/01
"Mad World"	Gary Jules and Mike Andrews	Tears for Fears	3:06	4/26/04
" Knives Out "	The Flaming Lips	Radiohead	4:20	8/08/02
"Black Dog"	Robert Plant	Led Zeppelin	4:48	3/16/05
"Moses"	Missy Higgins	Patty Griffin	3:00	6/16/05
"Let's Dance"	M. Ward	David Bowie	4:52	5/06/04
" Hallelujah "	k.d. lang	Leonard Cohen	5:04	7/27/04
