Season	Oberliga Bayern	Oberliga Hessen	Oberliga Baden-Württemberg	Oberliga Südwest
1981-82	FC Augsburg	FSV Frankfurt	SSV Ulm 1846	FC Homburg
1982-83	SpVgg Unterhaching	VfR Oli Bürstadt	SSV Ulm 1846	1. FC Saarbrücken
1983-84	TSV 1860 Munich	VfR Oli Bürstadt	Freiburger FC	FC Homburg
1984-85	SpVgg Bayreuth	Viktoria Aschaffenburg	SV Sandhausen	FSV Salmrohr
1985-86	TSV 1860 Munich	Kickers Offenbach	SSV Ulm 1846	FSV Salmrohr
1986-87	SpVgg Bayreuth	Kickers Offenbach	SV Sandhausen	Eintracht Trier
1987-88	SpVgg Unterhaching	Viktoria Aschaffenburg	FV 09 Weinheim	FSV Mainz 05
1988-89	SpVgg Unterhaching	Hessen Kassel	SSV Reutlingen	SV Edenkoben
1989-90	FC Schweinfurt 05	Rot-Weiß Frankfurt	SSV Reutlingen	FSV Mainz 05
1990-91	TSV 1860 Munich	Hessen Kassel	1. FC Pforzheim	Borussia Neunkirchen
1991-92	SpVgg Unterhaching	Viktoria Aschaffenburg	SSV Reutlingen	FSV Salmrohr
1992-93	TSV 1860 Munich	Kickers Offenbach	SSV Ulm 1846	Eintracht Trier
1993-94	FC Augsburg	FSV Frankfurt	SSV Ulm 1846	Eintracht Trier
