Rank	Name	Population 1991	Population 2001	Population 2007	State
1.	Vienna	1,539,848	1,550,123	1,664,146	Vienna
2.	Graz	237,810	226,244	247,698	Styria
3.	Linz	203,044	183,504	188,894	Upper Austria
4.	Salzburg	143,978	142,662	149,018	Salzburg
5.	Innsbruck	118,112	113,392	117,693	Tyrol
6.	Klagenfurt	89,415	90,141	92,397	Carinthia
7.	Wels	52,594	56,478	58,623	Upper Austria
8.	Villach	54,640	57,497	58,480	Carinthia
9.	Sankt Pölten	50,026	49,121	51,360	Lower Austria
10.	Dornbirn	40,735	42,301	44,243	Vorarlberg
11.	Wiener Neustadt	35,134	37,627	39,940	Lower Austria
12.	Steyr	39,337	39,340	38,979	Upper Austria
13.	Feldkirch	26,730	28,607	30,093	Vorarlberg
14.	Bregenz	27,097	26,752	27,148	Vorarlberg
15.	Wolfsberg	24,400	25,335	25,361	Carinthia
16.	Baden bei Wien	23,488	24,502	25,284	Lower Austria
17.	Leoben	28,897	25,804	25,227	Styria
18.	Klosterneuburg	24,442	24,797	25,216	Lower Austria
19.	Traun	22,260	23,470	23,941	Upper Austria
20.	Krems	22,766	23,713	23,932	Lower Austria
21.	Leonding	21,209	22,203	23,624	Upper Austria
22.	Amstetten	21,972	22,595	23,035	Lower Austria
23.	Kapfenberg	23,380	22,234	21,928	Styria
24.	Mödling	20,290	20,405	20,649	Lower Austria
25.	Lustenau	18,484	19,709	20,606	Vorarlberg
26.	Hallein	17,271	18,399	19,169	Salzburg
27.	Traiskirchen	13,852	15,669	16,497	Lower Austria
28.	Kufstein	13,484	15,358	16,457	Tyrol
29.	Braunau am Inn	16,264	16,337	16,328	Upper Austria
30.	Schwechat	14,669	15,286	16,065	Lower Austria
31.	Spittal an der Drau	15,346	16,045	15,944	Carinthia
32.	Saalfelden	12,604	15,093	15,728	Salzburg
33.	Ansfelden	14,636	14,789	15,707	Upper Austria
34.	Stockerau	13,608	14,452	15,157	Lower Austria
35.	Ternitz	15,445	15,232	15,066	Lower Austria
36.	Hohenems	13,531	13,891	14,864	Vorarlberg
37.	Perchtoldsdorf	14,051	13,998	14,489	Lower Austria
38.	Telfs	10,179	12,833	14,443	Tyrol
39.	Feldkirchen	12,977	14,030	14,298	Carinthia
40.	Tulln	12,038	13,591	14,190	Lower Austria
41.	Bad Ischl	13,887	14,081	14,093	Upper Austria
42.	Bludenz	13,369	13,701	13,890	Vorarlberg
43.	Bruck an der Mur	14,046	13,439	13,304	Styria
44.	Gmunden	13,133	13,184	13,191	Upper Austria
45.	Sankt Veit an der Glan	12,045	12,976	12,994	Carinthia
46.	Schwaz	11,839	12,212	12,637	Tyrol
47.	Hall in Tirol	12,368	11,492	12,424	Tyrol
48.	Eisenstadt	10,349	11,334	12,367	Burgenland
49.	Neunkirchen	10,216	11,562	12,148	Lower Austria
50.	Lienz	11,864	12,079	12,128	Tyrol
51.	Hard	10,747	11,404	12,051	Vorarlberg
52.	Wörgl	10,054	10,885	11,993	Tyrol
53.	Knittelfeld	12,873	12,740	11,991	Styria
54.	Vöcklabruck	11,239	11,697	11,945	Upper Austria
55.	Marchtrenk	10,369	11,274	11,743	Upper Austria
56.	Korneuburg	9,730	11,032	11,736	Lower Austria
57.	Waidhofen	11,435	11,662	11,671	Lower Austria
58.	Rankweil	10,509	11,171	11,627	Vorarlberg
59.	Ried im Innkreis	11,260	11,404	11,585	Upper Austria
60.	Wals-Siezenheim	9,563	11,024	11,567	Salzburg
61.	Zwettl	11,427	11,630	11,490	Upper Austria
62.	Völkermarkt	11,081	11,373	11,429	Carinthia
63.	Bad Vöslau	11,055	10,998	11,218	Lower Austria
64.	Hollabrunn	10,461	10,685	11,199	Lower Austria
65.	Enns	10,192	10,611	11,139	Upper Austria
66.	Mistelbach	10,234	10,644	11,040	Lower Austria
67.	Sankt Johann im Pongau	8,855	10,260	10,682	Salzburg
68.	Brunn am Gebirge	8,573	9,422	10,579	Lower Austria
69.	Sankt Andrä	10,582	10,719	10,561	Carinthia
70.	Götzis	9,512	10,097	10,554	Vorarlberg
71.	Bischofshofen	10,138	10,087	10,152	Salzburg
72.	Köflach	11,276	10,671	10,134	Styria
