Round	Pick	Overall	Name	Position	College
1	8	8	Steve Meilinger	E	Kentucky
2	7	20	Jim Schrader	C	Notre Dame
4	2	39	Ralph Felton	LB	Maryland
5	7	56	Billy Wells	HB	Michigan State
6	7	68	Bill McHenry	C	Washington & Lee
7	7	80	Harry Jagielski	DT	Indiana
8	7	92	Bill Marker	E	West Virginia
9	7	104	Jerry Minnick	OT	Nebraska
10	7	116	Merrill Green	RB	Oklahoma
11	7	128	Gene Wilson	RB	South Carolina
12	7	140	Ben Dunkerley	OT	West Virginia
13	7	152	Roger Dornburg	RB	Wisconsin
14	7	164	Roger Nelson	OT	Oklahoma
15	7	176	Hugh Merck	OT	South Carolina
16	7	188	Gilmer Spring	E	Texas
17	7	200	Jerry Coody	RB	Baylor
18	7	212	Walt Cudzik	C	Purdue
19	7	224	Jerry Witt	RB	Wisconsin
20	7	236	Sam Morley	E	Stanford
21	7	248	John Cavaglieri	OT	North Texas State [c ]
22	7	260	Max Schmaling	RB	Purdue
23	7	272	Pete Carrieri	G	Villanova
24	7	284	Will Renfro	DT	Memphis State [f ]
25	7	296	George Rosso	DB	Ohio State
26	7	308	Dorsey Gibson	RB	Oklahoma State
27	7	320	Ken Yarborough	E	North Carolina
28	7	332	Ron Hansen	G	Minnesota
29	7	344	Ted Kress	RB	Michigan
30	7	356	Don Rondou	RB	Northwestern
