Pick #	Player	Position	Nationality	NHL team	College/junior/club team
99	Angus Beck	Centre	Canada	California Golden Seals	Charlottetown Royals (NBSHL)
100	Bob Boyd	Defence	Canada	Detroit Red Wings	Michigan State University (WCHA)
101	Norm Cherrey	Right Wing	Canada	Vancouver Canucks	University of Wisconsin (WCHA)
102	Bob Murphy	Left Wing	Canada	Vancouver Canucks	Cornwall Royals (QMJHL)
103	Lorne Stamler	Left Wing	Canada	Los Angeles Kings	Michigan Technological University (WCHA)
104	Rod Lyons	Left Wing	Canada	California Golden Seals	Halifax Colonels (NSJHL)
105	Russ Friesen	Centre	Canada	Minnesota North Stars	Hamilton Red Wings (OHA)
106	Jerome Mrazek	Goaltender	Canada	Philadelphia Flyers	University of Minnesota Duluth (WCHA)
107	Bob Burns	Defence	Canada	Toronto Maple Leafs	Royal Military College (CIAU)
108	Jim Collins	Left Wing	Canada	St. Louis Blues	Flin Flon Bombers (WCHL)
109	Gene Sobchuk	Left Wing	Canada	New York Rangers	Regina Pats (WCHL)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
