Round	Pick	Overall	Name	Position	College
1	8	8	I. B. Hale	OT	Texas Christian
3	8	23	Charley Holm	RB	Alabama
5	8	38	Dick Todd	RB	Texas A&M
6	8	48	Dave Anderson	RB	California
7	8	58	Quinton Lumpkin	C	Georgia
8	8	68	Bo Russell	OT	Auburn
9	8	78	Wilbur Moore	HB	Minnesota
10	8	88	Jim Johnston	RB	Washington
11	8	98	Jim German	RB	Centre
12	8	108	Bob O'Mara	RB	Duke
13	8	118	Steve Slivinski	G	Washington
14	8	128	Bob Hoffman	RB	Southern California
15	8	138	Eric Tipton	RB	Duke
16	8	148	Dick Farman	OT	Washington State
17	8	158	Clyde Shugart	OT	Iowa State
18	8	168	Boyd Morgan	RB	Southern California
19	8	178	Phil Smith	OT	St. Benedict's
20	8	188	Paul Coop	OT	Centre
21	3	193	Matt Kuber	G	Villanova
22	3	198	Al Cruver	RB	Washington State
