Rider	Year	Final Position - Giro	Final Position - Tour	Final Position - Vuelta
Adam Hansen	2013	72	72	60
Adam Hansen	2012	94	81	123
Sebastian Lang	2011	56	113	77
Carlos Sastre (2)	2010	8	20	8
Julian Dean	2009	136	121	132
Marzio Bruseghin	2008	3	27	10
Erik Zabel	2008	80	43	49
Mario Aerts	2007	20	70	28
Carlos Sastre	2006	43	4	4
Giovanni Lombardi	2005	88	118	114
Jon Odriozola Mugarza	2001	58	69	83
Mariano Piccoli	1999	38	50	58
Guido Bontempi	1992	40	75	62
Neil Stephens	1992	57	74	66
Eduardo Chozas (2)	1991	10	11	11
Marco Giovannetti	1991	8	30	18
Marino Lejarreta (4)	1991	5	53	3
Inaki Gaston	1991	23	61	14
Alberto Leanizbarrutia	1991	64	39	44
Valdimir Poelnikov	1991	11	88	66
Valerio Tebaldi	1991	47	89	87
