Area	Advertisement date	Block	Winning applicant	Ensemble name
Hertfordshire , Bedfordshire and Buckinghamshire	December 2006	10D	NOW Digital	NOW Home Counties
Derbyshire	January 2007	10B	NOW Digital (East Midlands)	NOW Derbyshire
Wrexham and Chester	February 2007	10D	MuxCo	MuxCo North East Wales & West Cheshire
Hereford and Worcestershire	March 2007	10B	MuxCo	MuxCo Hereford & Worcester
Northamptonshire	April 2007	10C	NOW Digital	NOW Northampton
Oxfordshire	May 2007	10B	NOW Digital	NOW Oxford
Gloucestershire	July 2007	10C	MuxCo	MuxCo Gloucestershire
North Yorkshire	June 2007	12D	MuxCo	MuxCo North Yorkshire
Mid and West Wales	August 2007	12D	MuxCo	MuxCo Mid and West Wales
Surrey and Northern Sussex	September 2007	10C	MuxCo	MuxCo Surrey and Northern Sussex
Lincolnshire	October 2007	10D	MuxCo	MuxCo Lincolnshire
