District	Incumbent	Party	First elected	Results	Candidates
Illinois 1	Bobby Rush	Democratic	1992	Re-elected	Bobby Rush (D) 84.1% Jason Tabour (R) 15.9%
Illinois 3	Dan Lipinski	Democratic	2004	Re-elected	Dan Lipinski (D) 77.1% Ray Wardingly (R) 22.9%
Illinois 4	Luis Gutierrez	Democratic	1992	Re-elected	Luis Gutierrez (D) 85.8% Ann Melichar (R) 14.2%
Illinois 5	Rahm Emanuel	Democratic	2002	Re-elected	Rahm Emanuel (D) 78.0% Kevin White (R) 22.0%
Illinois 6	Henry Hyde	Republican	1974	Retired Republican hold	Peter Roskam (R) 51.4% Tammy Duckworth (D) 48.6%
Illinois 7	Danny Davis	Democratic	1996	Re-elected	Danny Davis (D) 86.7% Charles Hutchinson (R) 13.3%
Illinois 9	Jan Schakowsky	Democratic	1998	Re-elected	Jan Schakowsky (D) 74.6% Michael Shannon (R) 25.4%
Illinois 10	Mark Kirk	Republican	2000	Re-elected	Mark Kirk (R) 53.4% Daniel Seals (D) 46.6%
Illinois 11	Jerry Weller	Republican	1994	Re-elected	Jerry Weller (R) 55.1% John Pavich (D) 44.9%
Illinois 12	Jerry Costello	Democratic	1988	Re-elected	Jerry Costello (D) unopposed
Illinois 13	Judy Biggert	Republican	1998	Re-elected	Judy Biggert (R) 58.3% Joseph Shannon (D) 41.7%
Illinois 14	Dennis Hastert	Republican	1986	Re-elected	Dennis Hastert (R) 59.8% John Laesch (D) 40.2%
Illinois 15	Tim Johnson	Republican	2000	Re-elected	Tim Johnson (R) 57.6% David Gill (D) 42.4%
Illinois 17	Lane Evans	Democratic	1982	Retired Democratic hold	Phil Hare (D) 57.2% Andrea Lane Zinga (R) 42.8%
Illinois 18	Ray LaHood	Republican	1994	Re-elected	Ray LaHood (R) 67.3% Steve Waterworth (D) 32.7%
