City	Province	Country	IATA	ICAO	Airport
Aksu [begins 27 October 2013]	Xinjiang	China	AKU	ZWAK	Aksu Airport
Addis Ababa	—	Ethiopia	ADD	HAAB	Bole International Airport
Almaty	—	Kazakhstan	ALA	UAAA	Almaty International Airport
Athens	—	Greece	ATH	LGAV	Athens International Airport
Auckland	—	New Zealand	AKL	NZAA	Auckland Airport
Baghdad	—	Iraq	BGW	ORBI	Baghdad International Airport
Bangalore	—	India	BLR	VOBL	Bengaluru International Airport
Bangkok	—	Thailand	BKK	VTBS	Suvarnabhumi Airport
Baotou	Inner Mongolia	China	BAV	ZBOW	Baotou Erliban Airport
Beihai	Guangxi	China	BHY	ZGBH	Beihai Fucheng Airport
Beijing	Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Belgrade	—	Serbia	BEG	LYBE	Belgrade Nikola Tesla Airport
Berlin	—	Germany	TXL	EDDT	Berlin Tegel Airport
Bucharest	—	Romania	OTB	LROP	Henri Coandă International Airport
Budapest	—	Hungary	BUD	LHBP	Budapest Ferihegy International Airport
Busan	—	South Korea	PUS	RKPK	Gimhae International Airport
Changchun	Jilin	China	CGQ	ZYCC	Longjia International Airport
Changde	Hunan	China	CGD	ZGCD	Changde Airport
Changzhou	Jiangsu	China	CZX	ZSCG	Benniu Airport
Chaoyang	Liaoning	China	CHG	ZYCY	Chaoyang Airport
Chengdu	Sichuan	China	CTU	ZUUU	Shuangliu International Airport
Changsha	Hunan	China	CSX	ZGCS	Changsha Huanghua International Airport
Cairo	—	Egypt	CAI	HECA	Cairo International Airport
Changzhi	Shanxi	China	CIH	ZBCZ	Changzhi Wangcun Airport
Chiang Mai [begins 7 November 2013]	—	Thailand	CNX	VTCC	Chiang Mai Airport
Chifeng	Inner Mongolia	China	CIF	ZBCF	Chifeng Yulong Airport
Chita	—	Russia	HTA	UIAA	Kadala Airport
Chongqing	Chongqing	China	CKG	ZUCK	Chongqing Jiangbei International Airport
Copenhagen	—	Denmark	CPH	EKCH	Copenhagen Airport
Daegu	—	South Korea	TAE	RKTN	Daegu Airport
Dalian	Liaoning	China	DLC	ZYTL	Zhoushuizi International Airport
Dandong	Liaoning	China	DDG	ZYDD	Dandong Langtou Airport
Daocheng	Sichuan	China	DCY	ZUDC	Daocheng Yading Airport
Delhi	—	India	DEL	VIDP	Indira Gandhi International Airport
Dubai	—	United Arab Emirates	DXB	OMDB	Dubai International Airport
Dunhuang	Gansu	China	DNH	ZLDH	Dunhuang Airport
Düsseldorf	—	Germany	DUS	EDDL	Düsseldorf International Airport
Frankfurt	—	Germany	FRA	EDDF	Frankfurt Airport
Fukuoka	—	Japan	FUK	RJFF	Fukuoka Airport
