Season	Team 1	Score	Team 2	Venue
2004	Krung Thai Bank	0-2	Dalian Shide	Thai-Japanese Stadium , Thailand
2004	PSM Makassar	2-3	Krung Thai Bank	Mattoangin Stadium , Indonesia
2004	Hoang Anh Gia Lai	0-1	Krung Thai Bank	Pleiku Stadium , Vietnam
2004	Krung Thai Bank	2-2	Hoang Anh Gia Lai	Suphachalasai Stadium , Thailand
2004	Dalian Shide	3-1	Krung Thai Bank	Dalian People's Stadium , China PR
2004	Krung Thai Bank	1-2	PSM Makassar	Thai-Japanese Stadium , Thailand
2005	Krung Thai Bank	2-1	Pisico Bình Ðinh	N/A
2005	Krung Thai Bank	0-2	Busan I'Park	N/A
2005	Krung Thai Bank	2-1	Persebaya Surabaya	N/A
2005	Krung Thai Bank	0-1	Pisico Bình Ðinh	N/A
2005	Krung Thai Bank	0-4	Busan I'Park	N/A
2005	Krung Thai Bank	1-0	Persebaya Surabaya	N/A
2008	Krung Thai Bank	1-9	Kashima Antlers	Chulalongkorn University Sports Stadium , Thailand
2008	Beijing Guoan	4-2	Krung Thai Bank	Beijing Fengtai Stadium , China PR
2008	Krung Thai Bank	9-1	Nam Dinh F.C.	Chulalongkorn University Sports Stadium , Thailand
2008	Nam Dinh F.C.	2-2	Krung Thai Bank	My Dinh National Stadium , Vietnam
2008	Kashima Antlers	8-1	Krung Thai Bank	Kashima Soccer Stadium , Japan
2008	Krung Thai Bank	5-3	Beijing Guoan	Rajamangala Stadium , Thailand
