Player	Team	Matches	Overs	Wickets	Average	Economy	BBI	4wi	5wi
Virender Sehwag Category:Articles with hCards	Leicestershire	6	14.0	7	10.00	5.00	3/14	0	0
Jimmy Ormond Category:Articles with hCards	Surrey	5	20.0	11	10.09	5.55	5/26	1	1
Azhar Mahmood Category:Articles with hCards	Surrey	5	18.5	12	10.25	6.53	4/20	1	0
Dominic Hewson Category:Articles with hCards	Derbyshire	5	19.0	10	10.90	5.73	4/18	1	0
Jason Brown Category:Articles with hCards	Northamptonshire	5	17.5	11	11.09	6.84	5/27	0	1
Glen Chapple Category:Articles with hCards	Lancashire	5	19.0	9	11.22	5.31	2/13	0	0
Ashley Noffke Category:Articles with hCards	Middlesex	3	12.0	8	12.12	8.08	3/22	0	0
Peter Martin Category:Articles with hCards	Lancashire	4	15.0	7	12.14	5.66	3/20	0	0
Adam Hollioake Category:Articles with hCards	Surrey	7	25.1	16	12.31	7.82	5/21	1	1
Simon Cook Category:Articles with hCards	Middlesex	5	18.2	9	13.77	6.76	3/14	0	0
