Number	Builder	Type	Date	Works number
1	Hinkley Locomotive Works	0-4-4 Forney locomotive	1877	1251
2	Hinkley Locomotive Works	0-4-4 Forney locomotive	1877	1261
3	Hinkley Locomotive Works	0-4-4 Forney locomotive	1884	1664
4	Baldwin Locomotive Works	0-4-4 Forney locomotive	1886	8304
5	Portland Company	0-4-4 Forney locomotive	1890	616
6	Portland Company	0-4-4 Forney locomotive	1891	622
7	Portland Company	0-4-4 Forney locomotive	1890	615
8	Baldwin Locomotive Works	2-4-4 Forney locomotive	1907	31826
9	Baldwin Locomotive Works	2-4-4 Forney locomotive	1909	33550
10	Baldwin Locomotive Works	2-4-4 Forney locomotive	1916	42231
15	Baldwin Locomotive Works	2-6-0 tender	1891	11706
16	Baldwin Locomotive Works	2-6-0 tender	1892	12964
17	Baldwin Locomotive Works	0-4-4 Forney locomotive	1893	13276
18	Baldwin Locomotive Works	2-6-0 tender	1893	13733
19	Baldwin Locomotive Works	2-6-2 tender	1904	23874
20	Baldwin Locomotive Works	0-4-4 Forney locomotive	1903	23245
21	Baldwin Locomotive Works	0-4-4 Forney locomotive	1904	23754
22	Baldwin Locomotive Works	0-4-4 Forney locomotive	1904	23755
23	Baldwin Locomotive Works	2-6-2 tender	1913	40733
24	Baldwin Locomotive Works	2-6-2 tender	1919	51803
