Squad No.	Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	FLT Apps	FLT Goals	Playoff Apps	Playoff Goals	Total Apps	Total Goals
2	Steve Jenkins	DF	40	1	1	0	1	0	4	0	1	0	47	1
3	Gareth Evans	DF	35	0	0	0	1	0	3	0	2	0	41	0
4	Craig Armstrong	MF	7 (4)	1	0	0	1	0	1 (1)	0	0	0	9 (5)	1
5	Chris Lucketti	DF	2	0	0	0	0	0	0	0	0	0	2	0
8	Kenny Irons	MF	34 (7)	7	2	0	1	0	5	0	2	0	44 (7)	7
11	Clyde Wijnhard	FW	2 (11)	1	0	0	0	0	1 (1)	1	0	0	3 (12)	2
12	Kevin Gray	DF	44	1	2	0	1	0	6	0	2	0	55	1
13	Martyn Margetson	GK	46	0	2	0	1	0	6	0	2	0	57	0
16	Delroy Facey	FW	11 (2)	2	0	0	0	0	0	0	2	0	13 (2)	2
17	Simon Baldry	MF	3 (1)	0	0 (1)	0	0	0	1 (1)	0	0	0	4 (3)	0
18	Chris Hay	FW	19 (12)	5	0 (1)	0	1	0	2 (2)	1	0 (2)	0	22 (17)	6
20	Thomas Heary	DF	21 (11)	0	2	0	1	0	6	0	2	0	32 (11)	0
21	Jon Dyson	DF	0	0	1	0	0	0	0	0	0	0	1	0
22	Chris Beech	MF	6 (3)	1	0	0	1	0	0	0	0	0	7 (3)	1
23	Chris Holland	MF	35 (2)	1	2	0	1	0	5 (1)	1	2	0	45 (3)	2
24	Danny Schofield	MF	39 (1)	8	2	0	0	0	6	4	0	0	47 (1)	12
26	Adie Moses	DF	13 (4)	0	1	1	0	0	3	0	1	0	18 (4)	1
29	John Thorrington	MF	29 (2)	6	0	0	0 (1)	0	1	0	2	0	32 (3)	6
30	Leon Knight	FW	31	16	2	1	0	0	4	0	0	0	37	17
31	Paul Macari	FW	0 (6)	0	0	0	0 (1)	0	0 (2)	0	0	0	0 (9)	0
32	Andy Booth	FW	30 (6)	11	2	0	1	0	5	2	2	1	40 (6)	14
33	Dwayne Mattis	MF	21 (8)	1	2	0	0 (1)	0	3	0	0	0	26 (9)	1
34	Michael Senior	MF	0	0	0	0	0	0	0 (1)	0	0	0	0 (1)	0
36	Nathan Clarke	DF	36	1	1	0	0	0	4	0	0	0	41	1
37	Damien Delaney	DF	1 (1)	0	0	0	0	0	0	0	0	0	1 (1)	0
38	Jerel Ifil	DF	1 (1)	0	0	0	0	0	0	0	2	0	3 (1)	0
