Round	Player	Position	Nationality	College/Junior/Club Team
1	Matt Higgins	Center	Canada	Moose Jaw Warriors (WHL)
2	Mathieu Garon	Goalie	Canada	Victoriaville Tigres (QMJHL)
3	Arron Asham	Right Wing	Canada	Red Deer Rebels (WHL)
4	Kim Staal	Left Wing	Denmark	Malmö IF (Sweden)
4	Etienne Drapeau	Center	Canada	Beauport Harfangs (QMJHL)
5	Daniel Archambault	Defence	Canada	Val-d'Or Foreurs (QMJHL)
6	Brett Clark	Defenceman	Canada	University of Maine (NCAA)
7	Timo Vertala	Left Wing	Finland	JYP (Finland)
8	Mattia Baldi	Left Wing	Switzerland	Ambri-Piotta (Swiss)
9	Michel Tremblay	Left Wing	Canada	Shawinigan Cataractes (QMJHL)
