City	State	2010 population	Peak population (year)	Numeric decline from peak population	Percent decline from peak population
Albany	New York	97856	134995 (1950)	-37,139	-27.51%
Allegheny	Pennsylvania	N/A	129896 (1900)	–	–
Brooklyn	New York	N/A	806,343 (1890)	–	–
Camden	New Jersey	77344	124555 (1950)	-47,211	-37.90%
Canton	Ohio	73007	116912 (1950)	-43,905	-37.55%
Dearborn	Michigan	98153	112007 (1960)	-13,854	-12.37%
Duluth	Minnesota	86265	107312 (1960)	-21,047	-19.61%
Fall River	Massachusetts	88857	120485 (1920)	-31,628	-26.25%
Gary	Indiana	80294	178320 (1960)	-98,026	-54.97%
Hammond	Indiana	80830	111698 (1960)	-30,868	-27.64%
Livonia	Michigan	96942	110109 (1970)	-13,167	-11.96%
Lynn	Massachusetts	90329	102320 (1930)	-11,991	-11.72%
Macon	Georgia	91351	122423 (1970)	-31,072	-25.38%
New Bedford	Massachusetts	95072	121217 (1920)	-26,145	-21.57%
Niagara Falls	New York	50194	102394 (1960)	-52,200	-50.98%
Parma	Ohio	81601	100216 (1970)	-18,615	-18.57%
Portsmouth	Virginia	95535	114773 (1960)	-19,238	-16.76%
Reading	Pennsylvania	88082	111171 (1930)	-23,089	-20.77%
Roanoke	Virginia	97032	100220 (1980)	-3,188	-3.18%
Scranton	Pennsylvania	76089	143333 (1930)	-67,244	-46.91%
Somerville	Massachusetts	75754	103908 (1930)	-28,154	-27.10%
St. Joseph	Missouri	76780	102979 (1900)	-26,199	-25.44%
Trenton	New Jersey	84913	128009 (1950)	-43,096	-33.67%
Utica	New York	62235	101740 (1930)	-39,505	-38.83%
Wilmington	Delaware	70851	112504 (1940)	-41,653	-37.02%
Youngstown	Ohio	66982	170002 (1930)	-103,020	-60.60%
