Club	Chinese name	Home stadium	Capacity	Seasons in CSL	Best finish	Worst finish	Spell in level 1	Top Division Titles (Overall)	Top Division Titles (Professional)	Last Title
Beijing Guoan	北京国安	Workers Stadium	66,161	2004 - 2013	1st, 2009	7th, 2004	from 1991	8	1	2009
Changchun Yatai	长春亚泰	Development Area Stadium	25,000	2006 - 2013	1st, 2007	9th, 2010	from 2006	1	1	2007
Dalian Aerbin	大连阿尔滨	Jinzhou Stadium	30,775	2012 - 2013	5th, 2012	5th, 2012	from 2012	0	0	－
Guangzhou Evergrande	广州恒大	Tianhe Stadium	60,151	2008 - 2009, 2011 - 2013	1st, 2011, 2012	9th, 2009	from 2011	2	2	2012
Guangzhou R&F	广州富力	Yuexiushan Stadium	18,000	2004 - 2010，2012 - 2013	7th, 2012	16th, 2010	from 2012	0	0	－
Guizhou Renhe	贵州人和	Guiyang Olympic Sports Center	51,636	2004 - 2013	3rd, 2004	13th, 2007	from 2002	0	0	－
Hangzhou Greentown	杭州绿城	Yellow Dragon Sports Center	52,672	2007 - 2013	4th, 2010	15th, 2009	from 2007	0	0	－
Jiangsu Sainty	江苏舜天	Nanjing Olympic Sports Center	61,443	2009 - 2013	2nd, 2012	11th, 2010	from 2009	0	0	－
Liaoning Whowin	辽宁宏运	Tiexi New District Sports Center	30,000	2004 - 2008, 2010 - 2013	3rd, 2011	15th, 2008	from 2010	8	0	1993
Qingdao Jonoon	青岛中能	Qingdao Tiantai Stadium	20,525	2004 - 2013	6th, 2011	14th, 2006, 2010	from 1997	0	0	－
Shandong Luneng	山东鲁能	Luneng Stadium	56,808	2004 - 2013	1st, 2006, 2008, 2010	12th, 2012	from 1994	4	4	2010
Shanghai Shenhua	上海申花	Hongkou Football Stadium	33,060	2004 - 2013	2nd, 2005, 2006, 2008	11th, 2011	from 1982	3	1	2003
Shanghai Shenxin	上海申鑫	Yuanshen Sports Centre Stadium	16,000	2010 - 2013	13th, 2010	15th, 2012	from 2010	0	0	－
Shanghai SIPG	上海上港	Shanghai Stadium	56,842	2013 -	－	－	from 2013	0	0	－
Tianjin Teda	天津泰达	Tianjin Olympic Center Stadium	54,696	2004 - 2013	2nd, 2010	10th, 2011	from 1999	2	0	1980
Wuhan Zall	武汉卓尔	Wuhan Sports Center	52,357	2013 -	－	－	from 2013	0	0	－
