Player	Games	Goals	First Games	Last Games
Mike Havenaar	9	3	2011.09.02	2012.10.12
Hiroshi Kiyotake	12	1	2011.08.10	2012.11.14
Masahiko Inoha	16	1	2011.01.17	2012.09.11
Maya Yoshida	22	2	2010.01.06	2012.11.14
Hajime Hosogai	18	1	2009.10.08	2012.11.14
Shinji Okazaki	58	29	2008.10.09	2012.11.14
Keisuke Honda	40	12	2008.06.22	2012.11.14
Yuto Nagatomo	54	3	2008.05.24	2012.11.14
Eiji Kawashima	39	0	2008.02.17	2012.11.14
Ryoichi Maeda	24	10	2007.08.22	2012.11.14
Makoto Hasebe	63	2	2006.02.10	2012.11.14
Yuichi Komano	72	1	2005.08.03	2012.09.11
Yasuhito Endo	124	10	2002.11.20	2012.11.14
Gotoku Sakai	2	0	2012.09.06	2012.11.14
Hideto Takahashi	4	0	2012.05.23	2012.11.14
Hiroki Sakai	7	0	2012.05.23	2012.11.14
Shinji Kagawa	37	12	2008.05.24	2012.10.16
Hiroki Mizumoto	5	0	2006.10.04	2012.09.06
Kengo Nakamura	63	6	2006.10.04	2012.10.16
Tomoaki Makino	11	1	2010.01.06	2012.08.15
Jungo Fujimoto	13	1	2007.03.24	2012.08.15
Atsuto Uchida	52	1	2008.01.26	2012.10.16
Yuzo Kurihara	13	2	2006.08.09	2012.10.16
Yasuyuki Konno	63	1	2005.08.03	2012.11.14
Ryo Miyaichi	2	0	2012.05.23	2012.10.16
Takayuki Morimoto	10	3	2009.10.10	2012.05.23
Tadanari Lee	11	2	2011.01.09	2012.02.29
Takashi Inui	6	0	2009.01.20	2012.10.14
Naoya Kondo	1	0	2012.02.24	2012.02.24
Junya Tanaka	1	0	2012.02.24	2012.02.24
Chikashi Masuda	1	0	2012.02.24	2012.02.24
Ryota Moriwaki	2	0	2011.06.01	2012.02.24
Yosuke Kashiwagi	4	0	2010.01.06	2012.02.24
Shusaku Nishikawa	8	0	2009.10.08	2012.02.24
Naohiro Ishikawa	6	0	2003.12.07	2012.02.24
Yoshito Okubo	54	5	2003.05.31	2012.02.24
Genki Haraguchi	1	0	2011.10.07	2011.10.07
Yuki Abe	53	3	2005.01.29	2011.10.07
Akihiro Ienaga	3	0	2007.03.24	2011.08.10
Kunimitsu Sekiguchi	3	0	2010.10.08	2011.06.07
Daigo Nishi	1	0	2011.06.01	2011.06.01
Shinzo Koroki	12	0	2008.10.09	2011.06.01
Michihiro Yasuda	7	1	2008.02.17	2011.06.01
Daiki Iwamasa	8	0	2009.10.10	2011.01.29
Takuya Honda	2	0	2011.01.17	2011.01.25
Mitsuru Nagata	2	0	2010.09.07	2011.01.21
Daisuke Matsui	31	1	2003.06.22	2011.01.13
Mu Kanazaki	5	0	2009.01.20	2010.10.12
Hideo Hashimoto	15	0	2007.06.01	2010.09.07
Seigo Narazaki	77	0	1998.02.15	2010.09.07
Yuji Nakazawa	110	17	1999.09.08	2010.09.04
Marcus Tulio Tanaka	43	8	2006.08.09	2010.06.29
Keiji Tamada	72	16	2004.03.31	2010.06.29
Junichi Inamoto	82	5	2000.02.05	2010.06.24
Shunsuke Nakamura	98	24	2000.02.13	2010.06.19
Kisho Yano	19	2	2007.03.24	2010.06.14
Yuhei Tokunaga	7	0	2009.10.08	2010.04.07
Koji Yamase	13	5	2006.08.09	2010.04.07
Hisato Sato	31	4	2006.02.10	2010.02.14
Sota Hirayama	4	3	2010.01.06	2010.02.11
Mitsuo Ogasawara	55	7	2002.03.21	2010.02.11
Kensuke Nagai	1	0	2010.01.06	2010.01.06
Kazuma Watanabe	1	0	2010.01.06	2010.01.06
Takuji Yonemoto	1	0	2010.01.06	2010.01.06
Kazuya Yamamura	1	0	2010.01.06	2010.01.06
Kosuke Ota	1	0	2010.01.06	2010.01.06
Naoya Kikuchi	1	0	2010.01.06	2010.01.06
Shuichi Gonda	1	0	2010.01.06	2010.01.06
Naoki Yamada	2	0	2009.05.27	2010.01.06
Ryota Tsuzuki	6	0	2001.06.04	2009.09.09
Satoshi Yamaguchi	2	0	2009.05.27	2009.05.31
Tatsuya Tanaka	16	3	2005.07.31	2009.03.28
Kazumichi Takagi	5	0	2008.08.20	2009.02.04
Seiichiro Maki	38	8	2005.07.31	2009.02.04
Shuhei Terada	6	0	2008.05.27	2009.01.28
Takeshi Aoki	2	0	2008.08.20	2009.01.20
Yoshikatsu Kawaguchi	116	0	1997.02.13	2008.11.19
Masashi Oguro	22	5	2005.01.29	2008.08.20
Shinji Ono	56	6	1998.04.01	2008.08.20
Keita Suzuki	28	0	2006.08.09	2008.05.27
