Rank	Name	Season	Club	Goals	Apps	Goals per Match
1	Lionel Messi	2011/12	Barcelona	73	60	1.217
2	Lionel Messi	2012/13	Barcelona	60	49	1.224
2	Cristiano Ronaldo	2011/12	Real Madrid	60	55	1.091
4	Cristiano Ronaldo	2012/13	Real Madrid	55	55	1.000
5	Cristiano Ronaldo	2010/11	Real Madrid	53	54	0.981
5	Lionel Messi	2010/11	Barcelona	53	55	0.964
7	Ferenc Puskás	1959/60	Real Madrid	47	38	1.237
7	Ronaldo	1996/97	Barcelona	47	49	0.964
7	Lionel Messi	2009/10	Barcelona	47	53	0.887
10	Telmo Zarra	1950/51	Athletic Bilbao	46	36	1.278
11	Alfredo di Stéfano	1956/57	Real Madrid	43	43	1.000
12	Mariano Martín	1942/43	Barcelona	42	31	1.355
12	Ferenc Puskás	1960/61	Real Madrid	42	39	1.077
12	Hugo Sánchez	1989/90	Real Madrid	42	45	0.933
12	Baltazar	1988/89	Atlético Madrid	42	46	0.913
15	Hugo Sánchez	1986/87	Real Madrid	41	54	0.759
16	Ferenc Puskás	1961/62	Real Madrid	40	40	1.000
