Nationality	Position	Tottenham Hotspur career	Club Apps	Goals
England	MF	1882–1895	53	25
England	FB	1882–1894	159	24
England	GK	1894–1895 1896–1900	133	0
Wales	MF	1897–1904	226	13
Scotland	FW	1898–1907	293	139
Wales	DF	1899–1905	148	8
Ireland	LW	1899–1905	347	97
England	MF	1899–1912	523	3
Scotland	FW	1900–1901	57	45
England	FW	1901–1909	197	63
England	FW	1903–1907	133	24
Ireland	FW	1903–1907	36	7
Scotland	CB	1908–1912	141	4
Scotland	FW	1908–1915	245	45
England	CB	1908–1919	160	3
England	LW	1908–1920	261	55
England	FW	1908–1920	334	101
England	FW	1909–1911	10	2
Scotland	FB	1910–1915	122	1
England	CB	1910–1921	110	1
Scotland	MF	1912–1917	101	2
England	FW	1912–1922	215	106
England	FW	1912–1923	176	84
England	MF	1912–1927	360	27
England	RW	1913–1924	237	24
England	GK	1914–1922	138	0
England	FB	1914–1929	215	106
Scotland	MF	1919–1921	24	1
England	MF	1919–1925	117	0
England	LW	1919–1931	438	112
Scotland	FW	1919–1930	224	48
Scotland	CB	1920–1923	125	0
England	FW	1920–1927	254	77
England	FW	1921–1928	141	29
England	FB	1921–1930	244	0
England	MF	1921–1930	166	22
England	MF	1921–1931	319	10
England	MF	1923–1929	200	50
England	FB	1923–1933	158	3
England	FW	1924–1931	220	82
England	MF	1924–1931	229	0
England	GK	1927–1932	169	0
Wales	FW	1927–1935	263	99
England	GK	1927–1936	129	0
England	MF	1929–1935	189	6
Wales	MF	1929–1936	101	4
Wales	RW	1930–1933	115	19
England	LW	1930–1936	90	0
England	FW	1930–1937	198	138
England	MF	1930–1939	182	28
Wales	FW	1931–1936	195	86
England	MF	1931–1938	201	0
England	FW	1932–1939	222	29
Wales	FB	1932–1939	254	2
England	CF	1932–1946	154	101
England	RW	1932–1946	150	28
England	FB	1933–1936	109	1
Scotland	FW	1934–1943	103	26
England	GK	1934–1945	108	0
England	RW	1934–1946	109	31
England	FB	1935–1949	230	1
England	FB	1936–1946	132	11
England	RW	1938–1949	105	18
England	MF	1938–1954	341	6
England	LW	1939–1953	164	46
Wales	MF	1939–1954	324	16
England	FB	1946–1951	101	0
England	FW	1946–1954	294	117
England	FB	1946–1954	160	1
England	GK	1946–1958	452	0
Wales	FW	1947–1949	57	14
England	FW	1947–1955	325	69
Guernsey	FW	1947–1957	307	134
England	MF	1947–1957	234	71
England	FB	1948–1956	164	2
England	FB	1949–1955	250	25
England	CB	1949–1956	322	4
England	MF	1950–1957 1959–1965	260	7
England	FW	1951–1960	222	51
England	LW	1952–1958	200	58
Wales	LB	1952–1964	240	0
England	FW	1953–1959	179	51
