Year [e ] (Ceremony)	Film title used in nomination	Original title	Director	Result
1956 (29th)	The Captain of Köpenick	Der Hauptmann von Köpenick	Helmut Käutner Category:Articles with hCards	Nominee
1957 (30th)	The Devil Came at Night	Nachts, wenn der Teufel kam	Robert Siodmak Category:Articles with hCards	Nominee
1958 (31st)	Arms and the Man	Helden	Franz Peter Wirth Category:Articles with hCards	Nominee
1959 (32nd)	The Bridge	Die Brücke	Bernhard Wicki Category:Articles with hCards	Nominee
1960 (33rd)	Faust	Faust	Peter Gorski Category:Articles with hCards	Not Nominated
1966 (39th)	Young Törless	Der junge Törless	Volker Schlöndorff Category:Articles with hCards	Not Nominated
1967 (40th)	Tattoo	Tätowierung	Johannes Schaaf Category:Articles with hCards	Not Nominated
1968 (41st)	Artists Under the Big Top: Perplexed	Die Artisten in der Zirkuskuppel: ratlos	Alexander Kluge Category:Articles with hCards	Not Nominated
1969 (42nd)	Hunting Scenes From Bavaria	Jagdszenen aus Niederbayern	Peter Fleischmann Category:Articles with hCards	Not Nominated
1970 (43rd)	o.k.	o.k.	Michael Verhoeven Category:Articles with hCards	Not Nominated
1971 (44th)	The Castle	Das Schloß	Rudolf Noelte Category:Articles with hCards	Not Nominated
1972 (45th)	Trotta	Trotta	Johannes Schaaf Category:Articles with hCards	Not Nominated
1973 (46th)	The Pedestrian	Der Fußgänger	Maximilian Schell Category:Articles with hCards	Nominee
1974 (47th)	One or the Other of Us	Einer von uns beiden	Wolfgang Petersen Category:Articles with hCards	Not Nominated
1975 (48th)	The Enigma of Kaspar Hauser	Jeder für sich und Gott gegen alle	Werner Herzog Category:Articles with hCards	Not Nominated
1976 (49th)	The Clown	Ansichten eines Clowns	Vojtěch Jasný Category:Articles with hCards	Not Nominated
1977 (50th)	The American Friend	Der amerikanische Freund	Wim Wenders Category:Articles with hCards	Not Nominated
1978 (51st)	The Glass Cell	Die gläserne Zelle	Hans W. Geißendörfer Category:Articles with hCards	Nominee
1979 (52nd)	The Tin Drum	Die Blechtrommel	Volker Schlöndorff Category:Articles with hCards	Won Academy Award
1980 (53rd)	Fabian	Fabian	Wolf Gremm Category:Articles with hCards	Not Nominated
1982 (55th)	Fitzcarraldo	Fitzcarraldo	Werner Herzog Category:Articles with hCards	Not Nominated
1983 (56th)	A Woman in Flames	Die flambierte Frau	Robert van Ackeren Category:Articles with hCards	Not Nominated
1984 (57th)	Man Under Suspicion	Morgen in Alabama	Norbert Kückelmann Category:Articles with hCards	Not Nominated
1985 (58th)	Angry Harvest	Bittere Ernte	Agnieszka Holland Category:Articles with hCards	Nominee
1986 (59th)	Men…	Männer…	Doris Dörrie Category:Articles with hCards	Not Nominated
1987 (60th)	Wings of Desire	Der Himmel über Berlin	Wim Wenders Category:Articles with hCards	Not Nominated
1988 (61st)	Yasemin	Yasemin	Hark Bohm Category:Articles with hCards	Not Nominated
