Year	Team	Co-Drivers	Class	Pos.	Class Pos.
1966	Matra Sports	Jean-Pierre Jaussaud	P 2.0	DNF	DNF
1967	Equipe Matra Sports	Jean-Pierre Jaussaud	P 2.0	DNF	DNF
1968	Equipe Matra Sports	Johnny Servoz-Gavin	P 3.0	DNF	DNF
1970	Equipe Matra - Simca	Jean-Pierre Beltoise	P 3.0	DNF	DNF
1971	Scuderia Filipinetti	Mike Parkes	S 5.0	DNF	DNF
1972	Equipe Matra - Simca Shell	Graham Hill	S 3.0	1st	1st
1973	Equipe Matra - Simca Shell	Gérard Larrousse	S 3.0	1st	1st
1974	Equipe Gitanes	Gérard Larrousse	S 3.0	1st	1st
1975	Gitanes Automobiles Ligier	François Migault	S 3.0	DNF	DNF
1976	Inaltera	Jean-Pierre Beltoise	GTP	8th	1st
1977	Martini Racing Porsche System	Jacky Ickx	S +2.0	DNF	DNF
1978	Martini Racing Porsche System	Jacky Ickx Jochen Mass	S +2.0	DNF	DNF
1979	ITT Oceanic Jean Rondeau	Jean-Pierre Beltoise	S +2.0	10th	2nd
1980	ITT Jean Rondeau	Jean Ragnotti	S +2.0	DNF	DNF
1981	Oceanic Jean Rondeau	Patrick Tambay	2 +2.0	DNF	DNF
1982	Otis Automobiles Jean Rondeau	Jean Ragnotti Jean Rondeau	C	DNF	DNF
1983	Ford France	Thierry Boutsen	C	DNF	DNF
1984	New-Man Joest Racing	Klaus Ludwig	C1	1st	1st
1985	Martini Lancia	Mauro Baldi	C1	7th	7th
1986	Kouros Racing Team	Christian Danner Dieter Quester	C1	DNF	DNF
1987	Kouros Racing	Mike Thackwell Hideki Okada	C1	DNF	DNF
1988	Silk Cut Jaguar Tom Walkinshaw Racing	John Watson Raul Boesel	C1	DNF	DNF
1989	Joest Racing	Claude Ballot-Léna Jean-Louis Ricci	C1	6th	6th
1990	Joest Porsche Racing	Jean-Louis Ricci Jacques Laffite	C1	14th	14th
1991	Konrad Motorsport Joest Porsche Racing	Louis Krages Bernd Schneider	C2	DNF	DNF
1992	Courage Compétition	Bob Wollek Jean-Louis Ricci	C3	6th	1st
1993	Joest Porsche Racing	Bob Wollek Ronny Meixner	C2	9th	4th
1994	Courage Compétition	Alain Ferté Franck Lagorce	LMP1 C90	DNF	DNF
1995	Courage Compétition	Franck Lagorce Éric Bernard	WSC	DNF	DNF
1996	La Filière Elf	Franck Lagorce Emmanuel Collard	LMP1	7th	2nd
1997	La Filière Elf	Jean-Philippe Belloc Emmanuel Clérico	LMP	7th	4th
1998	Courage Compétition	Olivier Grouillard Franck Montagny	LMP1	15th	4th
1999	Pescarolo Promotion Racing Team	Michel Ferté Patrice Gay	LMP	9th	8th
