Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	12–5 (1)	Anthony Johnson	TKO (head kick)	Xtreme Fight Night 9	2	4:22	Tulsa, Oklahoma , United States
Loss	12–4 (1)	Matt Thompson	Submission (kneebar)	XKO 15	1	4:16	Arlington, Texas , United States
Win	12–3 (1)	Matt Horwich	Decision (unanimous)	Shark Fights 17: Horwich vs. Rosholt 2	3	5:00	Frisco, Texas , United States
NC	11–3 (1)	John Ott	No Contest (illegal knee)	Titan Fighting Championships 18	3	4:23	Kansas City, Kansas , United States
Win	11–3	John Malbrough	Submission (arm-triangle choke)	Cowboy MMA: Caged Cowboys	1	1:42	Ponca City, Oklahoma , United States
Win	10–3	Brandon McDowell	TKO (punches)	Back Alley Promotions	1	1:36	Arlington, Texas , United States
Win	9–3	John Bryant	Technical Submission (rear-naked choke)	Bellator 37	1	1:02	Concho, Oklahoma , United States
Win	8–3	Josh Smidt	Submission (guillotine choke)	C3 Fights: SlamFest	1	1:41	Newkirk, Oklahoma , United States
Loss	7–3	Matt Horwich	TKO (punches)	Xtreme Fight Night: Rosholt vs. Horwich	3	2:56	Tulsa, Oklahoma , United States
Win	7–2	Rudy Lindsey	Submission (rear-naked choke)	XFL: March Badness	1	2:37	Tulsa, Oklahoma , United States
Loss	6–2	Kendall Grove	Submission (triangle choke)	UFC 106	1	3:59	Las Vegas, Nevada , United States
Win	6–1	Chris Leben	Technical Submission (arm-triangle choke)	UFC 102	3	1:30	Portland, Oregon , United States
Loss	5–1	Dan Miller	Submission (guillotine choke)	UFC Fight Night: Lauzon vs. Stephens	1	1:03	Tampa, Florida , United States
Win	5–0	Nissen Osterneck	TKO (punches)	WEC 36	2	3:48	Hollywood, Florida , United States
Win	4–0	Chad Jay	TKO (punches)	Xtreme Fighting League	3	2:37	Tulsa, Oklahoma , United States
Win	3–0	Jeremiah Caves	TKO (punches)	HRP: Fight Night	1	1:42	Tulsa, Oklahoma , United States
Win	2–0	Christopher Clark	TKO (punches)	Masters of the Cage 16	3	2:37	Oklahoma City, Oklahoma , United States
Win	1–0	Dusty Miller	Submission (guillotine choke)	Masters of the Cage 15	1	3:40	Oklahoma City, Oklahoma , United States
