Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
15-01	183	S08E01	Kelp Caviar	Luxury Sailboats	Dental Crowns	High-Performance Engines
15-02	184	S08E02	Leather s Briefcase	Crop Dusters	Corn Whiskey	Drag Racing es Clutch
15-03	185	S08E03	Train Rails	Desalinated Water	Racing Wheelchairs	Parquetry
15-04	186	S08E04	s Flight Simulator	Traditional Bookbinding	Greenhouse Tomatoes	Hurricane-Proof s Shutter
15-05	187	S08E05	Worcestershire Sauce	Lawn Bowls	Radio-Controlled Model Jets (Part 1)	Radio-Controlled Model Jets (Part 2)
15-06	188	S08E06	s Pipe	Rock Climbing Gear	Leather Bike Saddles	Luxury Sports Cars
15-07	189	S08E07	Replica Foods	Traffic Cone Dispensers	s Rocking Horse	London Taxis
15-08	190	S08E08	Miniature Furniture	Garden Steam Locomotives	Hovercraft	s Folding Bicycle
15-09	191	S08E09	Crosscut Saws	Haggis	Collectible Firearms (Part 1)	Collectible Firearms (Part 2)
15-10	192	S08E10	Alligator s Bag	Lockers	s Bench Plane	able Deploy Flight Recorders
15-11	193	S08E11	Grapples	Flavourings	s Dog Sled	Athletic Shoes
15-12	194	S08E12	Retractile Cords	Wood Frame Sports Cars	Sushi (Part 1)	Sushi (Part 2)
15-13	195	S08E13	Leather s Wallet	s French Horn	Soy Sauce	Children's Ride-On Cars
