Title	Localized Title	Creator	Years	Origin
Atashin'chi	아따맘마, Attamamma	Eiko Kera	2004-2008	Japan
Baby and Me	아기와 나, Agiwana	Marimo Ragawa	1995-2002	Japan
Gakko no Ojikan	학교에 가자!, Hakgyoe Gaja	Mimi Tajima	2004-present	Japan
Gakuen Prince	학원왕자, Hagwonwangja	Jun Yuzuki	2007-present	Japan
Hanasekeru Seishounen	카시카	Natsumi Itsuki	1997-2000	Japan
Koucha Ōji	홍차왕자	Nanpei Yamada	1998-2004	Japan
Koucha Ōji no Himegimi	애장판 홍차왕자, aejangpan Hongchawangja	Nanpei Yamada	2008-present	Japan
Papillon -Hana to Chō-	빠삐용, Ppappiyon	Miwa Ueda	2007-present	Japan
Penguin Revolution	펭귄혁명, Penggwin Hyeokmyeong	Sakura Tsukuba	2005-2008	Japan
Sailor Moon	달의 요정 세일러문	Naoko Takeuchi	1997-1999	Japan
Shanimuni Go	Just Go Go!, 저스트 고고!	Marimo Ragawa	1999-present	Japan
Sprout	스프라우트, 스프라우트	Atsuko Nanba	2006-present	Japan
