Round	Pick #	Overall	Name	Position	College
1	13	13	Chris Miller	Quarterback	Oregon
2	3	31	Kenny Flowers	Running Back	Clemson
4	13	97	Ralph Van Dyke	Offensive Tackle	Southern Illinois
5	13	125	Mark Mraz	Defensive End	Utah State
6	13	153	Paul Kiser	Guard	Wake Forest
7	13	181	Michael Reid	Linebacker	Wisconsin
8	13	208	Curtis Taliaferro	Linebacker	Virginia Tech
9	13	236	Terrance Anthony	Defensive Back	Iowa State
10	13	264	Jerry Reese	Tight End	Illinois
11	13	292	Elbert Shelley	Defensive Back	Arkansas State
12	13	320	Larry Emery	Running Back	Wisconsin
