Year	Division	League	Regular Season	Playoffs	Open Cup
1991	N/A	SISL	4th, Southeast	Did not qualify	Did not enter
1992	N/A	USISL	5th, Southeast	Did not qualify	Did not enter
1993	N/A	USISL	6th, Southeast	Did not qualify	Did not enter
1994	3	USISL	5th, Midsouth	Divisional Semifinals	Did not enter
1995	4	USISL Premier	3rd, Eastern	Divisional Semifinals	Did not qualify
1996	4	USISL Premier	4th, Eastern Northern	Division Finals	Did not qualify
1997	2	USISL A-League	2nd, Central	Division Semifinals	Did not qualify
1998	2	USISL A-League	1st, Central	Conference Quarterfinals	Quarter Finals
1999	2	USL A-League	6th, Central	Did not qualify	Did not qualify
2000	2	USL A-League	5th, Central	Did not qualify	2nd Round
2001	2	USL A-League	4th, Central	1st Round	2nd Round
2002	4	USL PDL	4th, Mid South	1st Round	Did not qualify
2003	4	USL PDL	3rd, Mid South	Did not qualify	Did not qualify
2004	4	USL PDL	4th, Mid South	Conference Semifinals	Did not qualify
2005	4	USL PDL	5th, Mid South	Did not qualify	Did not qualify
2006	4	USL PDL	5th, South Atlantic	Did not qualify	Did not qualify
2007	4	USL PDL	7th, Southeast	Did not qualify	Did not qualify
2008	4	USL PDL	7th, Southeast	Did not qualify	Did not qualify
2009	4	USL PDL	7th, Southeast	Did not qualify	Did not qualify
2010	4	USL PDL	7th, Southeast	Did not qualify	Did not qualify
2011	4	USL PDL	5th, Southeast	Did not qualify	Did not qualify
2012	4	USL PDL	4th, South Atlantic	Did not qualify	Did not qualify
