Name	Pole Position	Fastest Lap	Winning driver	Winning team	Report
Kraco Car Stereo 200	Bobby Unser	Unknown	Johnny Rutherford	Chaparral	Report
Gould-Rex Mays 150	Gordon Johncock	Unknown	Mike Mosley	All American Racers	Report
Kraco Twin 125 (R1)	Johnny Rutherford	Unknown	Rick Mears	Penske Racing	Report
Kraco Twin 125 (R2)	Rick Mears	Unknown	Rick Mears	Penske Racing	Report
Norton Michigan 500	Tom Sneva	Unknown	Pancho Carter	Alex Foods	Report
Los Angeles Times 500	Geoff Brabham	Unknown	Rick Mears	Penske Racing	Report
Tony Bettenhausen 200	Johnny Rutherford	Unknown	Tom Sneva	Bignotti-Cotter	Report
Detroit News Grand Prix	Rick Mears	Unknown	Rick Mears	Penske Racing	Report
Watkins Glen 200	Mario Andretti	Unknown	Rick Mears	Penske Racing	Report
II Copa Mexico 150	Bobby Unser	Unknown	Rick Mears	Penske Racing	Report
Miller High Life 150	Bobby Unser	Unknown	Tom Sneva	Bignotti-Cotter	Report
