Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Steve Vickers	LW	Canada	Toronto Marlboros ( OHA )
1	Steve Durbano	D	Canada	Toronto Marlboros (OHA)
2	Tom Williams	LW	Canada	Hamilton Red Wings (OHA)
3	Terry West	C	Canada	London Knights (OHA)
4	Jerry Butler	RW	Canada	Hamilton Red Wings (OHA)
5	Fraser Reobertson	D	CAN	Lethbridge Sugar Kings ( AJHL )
6	Wayne Wood	G	Canada	Montreal Junior Canadiens (OHA)
7	Doug Keeler	C	Canada	Ottawa 67's (OHA)
7	Jean-Denis Royal	D	Canada	Saint-Jerome Alouettes ( QMJHL )
8	Gene Sobchuk	LW	Canada	Regina Pats ( WCHL )
9	Jim Ivison	D	Canada	Brandon Wheat Kings (WCHL)
10	Andre Peloffy	C	France	Rosemont National (QMJHL)
11	Elston Evoy	C	Canada	Sault Ste. Marie Greyhounds ( NOHA )
12	Gerry Lecomte	D	Canada	Sherbrooke Beavers (QMJHL)
13	Wayne Forsey	LW	Canada	Swift Current Broncos (WCHL)
14	Bill Forrest	D	Canada	Hamilton Red Wings (OHA)
