Date	Visitor	Score	Home	Decision	Attendance	Record
November 2	Toronto	2 – 3	New Jersey	Brodeur	14,523	5–6–1
November 3	New Jersey	1 – 2	NY Rangers	Brodeur	18,200	5–6–2
November 5	Pittsburgh	5 – 0	New Jersey	Brodeur	14,032	5–7–2
November 8	Philadelphia	1 – 4	New Jersey	Brodeur	14,948	6–7–2
November 10	New Jersey	1 – 2	NY Islanders	Brodeur	15,361	6–8–2
November 12	New Jersey	3 – 2	Pittsburgh	Weekes	17,096	7–8–2
November 14	NY Rangers	4 – 2	New Jersey	Brodeur	17,625	7–9–2
November 16	NY Islanders	1 – 0	New Jersey	Brodeur	15,076	7–10–2
November 17	New Jersey	6 – 2	Philadelphia	Brodeur	19,621	8–10–2
November 21	New Jersey	2 – 1	Pittsburgh	Brodeur	17,132	9–10–2
November 23	New Jersey	3 – 0	Atlanta	Brodeur	18,545	10–10–2
November 24	New Jersey	3 – 2	Tampa Bay	Brodeur	19,077	11–10–2
November 28	Dallas	2 – 4	New Jersey	Brodeur	13,665	12–10–2
November 30	Montreal	0 – 4	New Jersey	Brodeur	15,081	13–10–2
