Date	Visitor	Score	Home	Record
November 4	Vancouver	3–8	Pittsburgh	3–7–2
November 5	Vancouver	4–1	Buffalo	4–7–2
November 7	Toronto	2–3	Vancouver	5–7–2
November 10	Vancouver	3–6	Boston	5–8–2
November 11	Vancouver	4–2	Toronto	6–8–2
November 14	Vancouver	3 -3	Minnesota	6–8–3
November 15	Vancouver	2–4	Chicago	6–9–3
November 17	Detroit	5–2	Vancouver	6–10–3
November 20	Los Angeles	1–7	Vancouver	7–10–3
November 21	Vancouver	3–1	Los Angeles	8–10–3
November 24	Minnesota	2–3	Vancouver	9–10–3
November 26	Vancouver	2–4	Detroit	9–11–3
November 28	Vancouver	1–5	St. Louis	9–12–3
November 29	Vancouver	2–4	Philadelphia	9–13–3
