Date	Visitor	Score	Home	Decision	Attendance	Record
November 2	Florida	4 – 2	Buffalo	Vokoun	18,690	6–7–0
November 3	Florida	2 – 4	Carolina	Vokoun	17,547	6–8–0
November 5	Tampa Bay	3 – 4	Florida	Vokoun	10,149	7–8–0
November 7	Florida	1 – 3	Tampa Bay	Vokoun	16,526	7–9–0
November 9	Atlanta	4 – 1	Florida	Vokoun	14,268	7–10–0
November 12	Carolina	4 – 3	Florida	Vokoun	12,715	7–11–0
November 13	Florida	2 – 3	Atlanta	Anderson	12,599	7–11–1
November 15	Washington	1 – 2	Florida	Vokoun	12,101	8–11–1
November 17	Florida	1 – 2	Carolina	Vokoun	16,962	8–12–1
November 19	Florida	4 – 3	Washington	Vokoun	13,411	9–12–1
November 21	Florida	5 – 2	Columbus	Vokoun	13,326	10–12–1
November 23	NY Rangers	2 – 3	Florida	Vokoun	19,250	11–12–1
November 28	Florida	2 – 1	Washington	Vokoun	10,526	12–12–1
November 29	Boston	4 – 3	Florida	Anderson	14,926	12–13–1
