Place	Player	Country	Score	To par
1	Paul Azinger	United States	68-68-71=207	–6
T2	Nick Faldo	England	68-69-71=208	–5
T2	David Frost	South Africa	70-68-70=208	–5
T4	Craig Stadler	United States	69-69-71=209	–4
T4	Payne Stewart	United States	71-66-72=209	–4
T4	Tom Watson	United States	69-69-71=209	–4
7	Raymond Floyd	United States	72-68-70=210	–3
T8	Mark Calcavecchia	United States	69-70-72=211	–2
T8	Rodger Davis	Australia	64-73-74=211	–2
T8	Graham Marsh	Australia	69-70-72=211	–2
T8	Nick Price	Zimbabwe	68-71-72=211	–2
