Player	Position	Overall Pick	Round	NFL Draft	Franchise
Ray McDonald	RB	13	1st	1967	Washington Redskins
Mike Iupati	G	17	1st	2010	San Francisco 49ers
Jerry Kramer	G / PK	39	4th	1958	Green Bay Packers
Wayne Walker	LB / PK	44	4th	1958	Detroit Lions
Carl Kiilsgaard	T	61	5th	1950	Chicago Cardinals
Ryan Phillips	LB	68	3rd	1997	New York Giants
Jim Prestel	DT	70	6th	1959	Cleveland Browns
Jim Norton	S / P	75	7th	1960	Detroit Lions
John Yarno	C	87	4th	1977	Seattle Seahawks
Jeff Robinson	DE / TE / LS	98	4th	1993	Denver Broncos
