Place	Player	Country	Score	To par	Money ( $ )
T1	Billy Burke	United States	73-72-74-73=292	+8	Playoff
T1	George Von Elm	United States	75-69-73-75=292	+8	Playoff
3	Leo Diegel	United States	75-73-74-72=294	+10	650
T4	Wiffy Cox	United States	76-74-74-72=296	+12	450
T4	Bill Mehlhorn	United States	77-73-75-71=296	+12	450
T4	Gene Sarazen	United States	74-78-74-70=296	+12	450
T7	Mortie Dutra	United States	71-77-73-76=297	+13	200
T7	Walter Hagen	United States	74-74-73-76=297	+13	200
T7	Philip Perkins (a)	England	78-76-73-70=297	+13	0
T10	Al Espinosa	United States	72-78-75-74=299	+15	105
T10	Johnny Farrell	United States	78-70-79-72=299	+15	105
T10	Macdonald Smith	Scotland United States	73-73-75-78=299	+15	105
