No. in series	No. in season	Title	Director	Writer(s)	Original air date	Production code
131	1	"Living With Disaster"	Frank South	Frank South	September9,1996	2396126
132	2	"Over Dick's Dead Body"	Chip Chalmers	Charles Pratt, Jr.	September16,1996	2396127
133	3	"Moving Violations"	Richard Lang	Carol Mendelsohn	September23,1996	2396128
134	4	"Hunka Hunka Burnin' Love"	Charles Correll	Dee Johnson	September30,1996	2396129
135	5	"Un-Janed Melody"	Jefferson Kibbee	James Kahn	October28,1996	2396130
136	6	"Jane's Addiction"	Chip Chalmers	Kathryn Baker	November4,1996	2396131
137	7	"Young Doctors in Heat"	Anson Williams	Edward Gold	November11,1996	2396132
138	8	"Mission: Interpersonal"	Charles Correll	Charles Pratt, Jr.	November11,1996	2396133
139	9	"Farewell, Mike's Concubine"	Jefferson Kibbee	Carol Mendelsohn	November18,1996	2396134
140	10	"Nice Work If You Can Get It"	Charles Correll	Dee Johnson	November25,1996	2396135
141	11	"Sole Sister"	Chip Hayes	Chip Hayes	December2,1996	2396136
142	12	"Quest for Mother"	Charles Correll	James Kahn	December9,1996	2396137
143	13	"Crazy Love"	Chip Chalmers	Kathryn Baker	December16,1996	2396138
144	14	"The Accidental Doctor"	Charles Correll	Edward Gold	January6,1997	2396139
145	15	"Escape From L.A."	Richard Lang	Frank South	January13,1997	2396140
146	16	"The Eyes of the Storm"	Harvey Frost	Cynthia J. Cohen	January20,1997	2396141
147	17	"Better Homes and Condos"	Janet Greek	James Kahn	January27,1997	2396142
148	18	"Great Sexpectations (1)"	Richard Lang	Carol Mendelsohn & Dee Johnson	February3,1997	2396143A
149	19	"Great Sexpectations (2)"	Richard Lang	Carol Mendelsohn & Dee Johnson	February3,1997	2396143B
150	20	"Catch Her in the Lie"	Charles Pratt, Jr.	Charles Pratt, Jr.	February10,1997	2396144
151	21	"Men Are From Melrose"	Chip Hayes	Frank South	February17,1997	2396145
152	22	"Frames 'R' Us"	Robert J. Metoyer	James Kahn	February24,1997	2396146
153	23	"Screams From a Marriage"	Charles Correll	Edward Gold	March3,1997	2396147
154	24	"101 Damnations"	Richard Lang	Carol Mendelsohn	March10,1997	2396148
155	25	"From Here to Maternity"	Thomas Calabro	Dee Johnson	March17,1997	2396149
156	26	"Last Exit to Ohio"	Jefferson Kibbee	Frank South	March31,1997	2396150
157	27	"The Dead Wives Club"	Chip Chalmers	Charles Pratt, Jr.	April7,1997	2396151
158	28	"Deja Vu, All Over Again"	James Darren	Neil Landau	April14,1997	2396152
159	29	"All Beths Are Off"	Charles Correll	Chip Hayes	April21,1997	2396153
160	30	"Ultimatums and the Single Guy"	Anson Williams	Dee Johnson	April28,1997	2396154
161	31	"Going Places"	Charles Pratt, Jr.	Carol Mendelsohn	May5,1997	2396155
162	32	"Secrets and Lies and More Lies"	Frank South	Frank South	May12,1997	2396156
163	33	"Who's Afraid of Amanda Woodward? (1)"	Charles Correll	Charles Pratt, Jr.	May19,1997	2396157A
