Total #	Episode #	Title	Directed by	Written by	Original air date
27	1	"Fuck City Hall"	Scott Smith	Sheri Elwood	September23,2012
28	2	"Thirty Percent Less Pulp Fiction"	Scott Smith	Dennis Heaton	September23,2012
29	3	"The Virgin Homo-Cide"	James Allodi	Matt MacLennan	September30,2012
30	4	"The Rise and Fall of Ethnic Man"	James Allodi	Derek Schreyer	October7,2012
31	5	"Fuck the Vote"	Shawn Thompson	Sheri Elwood & Nikolijne Troubetzkoy	October14,2012
32	6	"Semen-Gate"	Jason Priestley	Jeff Detsky	October21,2012
34	8	"Are You There God? I Need to Speak to Frank"	Jason Priestley	Sheri Elwood	November4,2012
35	9	"Teetotal Recall"	Scott Smith	Jeff Detsky & Matt MacLennan	November11,2012
36	10	"Apoca' Smokes Now"	Scott Smith	Dennis Heaton	November18,2012
37	11	"And Baby Makes... Fuck! Part 1"	Sheri Elwood	Sheri Elwood & Matt MacLennan	November25,2012
