Name	Date	Defending forces	Brigade	Population
Al-Ashrafiyya	10 May 1948	villagers fled	Golani brigade	230
Farwana	10 May 1948	villagers fled 'to Transjordan'	Golani brigade	330
Baysan	12 May 1948	Arab Liberation Army 'contingents'	Golani brigade	5,180 inc. 430 Christians
Al-Sakhina	12 May 1948	n/a	Golani brigade	820 inc. 290 Jews
Al-Hamidiyya	12 May 1948	n/a	Golani brigade	320 inc. 100 Jews
Sirin	12 May 1948	n/a	Golani	810
Al-Ghazzawiyya	20 May 1948	n/a	Golani brigade 4th battalion	1,640 inc. 620 Jews
Al-Fatur	20 May 1948	n/a	n/a	110
'Arab al-Safa	20 May 1948	n/a	Golani brigade	650
Kawkab al-Hawa	21 May 1948	n/a	Golani brigade 3rd battalion	300
Al-Samiriyya	27 May 1948	n/a	Golani brigade 4th battalion	250
Danna	28 May 1948	n/a	Golani brigade	190
