Order Year	Fleet Series (Qty.)	Manufacturer	Model	Powertrain (Engine/Transmission)	Fuel or Propulsion	Division
2000	1601-1631 (31)	New Flyer	C40LF	Cummins Westport C-Gas Plus Allison WB-400R	CNG	IAD
2000	2201-2212, 2501-2512 (24)	New Flyer	C40LF	Cummins Westport C-Gas Plus Allison WB-400R	CNG	SBD
2001	1801-1873 73	New Flyer	C40LF	Cummins Westport C-Gas Plus Allison WB-400R	CNG	KMD: 1801-1841 IAD: 1843-1871
2001	1901-1913 (13)	New Flyer	D60LF	Detroit Diesel Series 50EGR Allison WB-400R	Diesel	KMD
2001	8101-8133 (33)	New Flyer	D40LF	Detroit Diesel Series 50 Allison WB-400R	Diesel	ECD
2005	401-407 (7)	New Flyer	C40LF	Cummins Westport C-Gas Plus ZF 6HP	CNG	KMD
2005	2701-2740 (40)	New Flyer	C40LF	Cummins Westport C-Gas Plus ZF 6HP	CNG	SBD
2007	2771-2775 (5)	ElDorado National	EZ Rider II CNG	Cummins Westport B-Gas Plus Allison WB-300R	CNG	SBD
2007	8501-8526 (26)	Blue Bird	Express 4500	Detroit Diesel Series 60EGR Allison WB-500	Diesel	ECD
2008	301-350 (50)	New Flyer	C40LF	Cummins Westport ISL-G ZF 6HP	CNG	IAD: 301-313 KMD: 314-350
2008	1001-1026 (26)	NABI	60-BRT	Cummins Westport ISL-G Allison WB-500R	CNG	IAD
2009	501-512 (12)	New Flyer	GE40LFR	Ford Triton V10 6.8L ISE Thundervolt TB40-HG	Hybrid	IAD
2009	2801-2870 (70)	New Flyer	C40LF	Cummins Westport ISL-G ZF 6HP	CNG	SBD
2011	601-627 (27)	New Flyer	C40LFR	Cummins Westport ISL-G ZF 6HP	CNG	IAD
