Date	Visitor	Score	Home	Record	Points
February 3	California	1–6	Pittsburgh	17–22–12	46
February 5	Pittsburgh	2–2	St. Louis	17–22–13	47
February 7	Pittsburgh	0–1	Chicago	17–23–13	47
February 9	Pittsburgh	1–4	Montreal	17–24–13	47
February 10	Philadelphia	3–5	Pittsburgh	18–24–13	49
February 13	Chicago	4–5	Pittsburgh	19–24–13	51
February 14	Pittsburgh	4–5	Minnesota	19–25–13	51
February 17	Pittsburgh	3–4	Toronto	19–26–13	51
February 18	Pittsburgh	6–6	Buffalo	19–26–14	52
February 20	NY Rangers	2–0	Pittsburgh	19–27–14	52
February 24	St. Louis	5–5	Pittsburgh	19–27–15	53
February 27	NY Rangers	4–0	Pittsburgh	19–28–15	53
February 28	Pittsburgh	2–4	Detroit	19–29–15	53
