Outcome	Date	Championship	Surface	Opponent	Score
Winner	1990	Florence , Italy	Clay	Lawson Duncan	6–7, 7–5, 6–0
Runner-up	1990	Båstad , Sweden	Clay	Richard Fromberg	2–6, 6–7 (5-7)
Winner	1992	Copenhagen , Denmark	Carpet	Anders Järryd	6–4, 7–6 (7-5)
Winner	1992	Munich , Germany	Clay	Petr Korda	6–4, 4–6, 6–1
Winner	1994	Zaragoza , Spain	Carpet	Lars Rehmann	6–4, 6–4
Runner-up	1994	Halle , Germany	Grass	Michael Stich	4–6, 6–4, 3–6
Winner	1994	Toulouse , France	Hard (i)	Jared Palmer	6–1, 6–3
Runner-up	1994	Antwerp , Belgium	Carpet	Pete Sampras	6–7 (5-7) , 4–6
Winner	1994	Grand Slam Cup , Munich	Carpet	Pete Sampras	7–6 (8-6) , 4–6, 7–6 (7-5) , 6–4
Runner-up	1995	Doha , Qatar	Hard	Stefan Edberg	6–7 (4-7) , 1–6
Runner-up	1995	Barcelona , Spain	Clay	Thomas Muster	2–6, 1–6, 4–6
Runner-up	1996	Toulouse , France	Hard (i)	Mark Philippoussis	1–6, 7–5, 4–6
Runner-up	1998	Halle , Germany	Grass	Yevgeny Kafelnikov	4–6, 4–6
Winner	2000	Memphis , U.S.	Hard (i)	Byron Black	6–2, 1–6, 6–3
Runner-up	2000	Copenhagen , Denmark	Hard (i)	Andreas Vinciguerra	3–6, 6–7 (5-7)
