Year	Venue	Winners	Runner-up	3rd place
1977	Vojens	Alf Busk (9 pts)	Joe Owen (8 pts)	Les Collins (7 pts)
1978	Lonigo	Finn Rune Jensen (13 pts)	Kevin Jolly (12+3 pts)	Neil Middleditch (12+2 pts)
1979	Leningrad	Ron Preston (13 pts)	Airat Faizulin (12 pts)	Ari Koponen (11+3 pts)
1980	Pocking	Tommy Knudsen (14 pts)	Tony Briggs (12 pts)	Dennis Sigalos (11+3 pts)
1981	Slaný	Shawn Moran (15 pts)	Antonín Kasper, Jr. (14 pts)	Jiri Hrdinak (13 pts)
1982	Pocking	Antonín Kasper, Jr. (14 pts)	Mark Courtney (12+3 pts)	Peter Ravn (12+2 pts)
1983	Lonigo	Steve Baker (13 pts)	David Bargh (12 pts)	Marvyn Cox (11 pts)
1984	King's Lynn	Marvyn Cox (12 pts)	Neil Evitts (11+3 pts)	Steve Lucero (11+2 pts)
1985	Abensberg	Per Jonsson (15 pts)	Jimmy Nilsen (13 pts)	Ole Hansen (11+3pts)
1986	Rivne	Igor Marko (13 pts)	Tony Olsson (12 pts)	Brian Karger (11 pts)
1987	Zielona Góra	Gary Havelock (13 pts)	Piotr Świst (12+3 pts)	Sean Wilson (12+2 pts)
Year	Venue	Winners	Runner-up	3rd place
