Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1958 (31st)	The Road a Year Long	Cesta duga godinu dana / La strada lunga un anno	Giuseppe De Santis Category:Articles with hCards	Nominee
1959 (32nd)	Train Without a Timetable	Vlak bez voznog reda	Veljko Bulajić Category:Articles with hCards	Not Nominated
1960 (33rd)	The Ninth Circle	Deveti krug	France Štiglic Category:Articles with hCards	Nominee
1963 (36th)	Kozara	Kozara	Veljko Bulajić Category:Articles with hCards	Not Nominated
1964 (37th)	Skopje '63	Skopje '63	Veljko Bulajić Category:Articles with hCards	Not Nominated
1966 (39th)	Three	Tri	Aleksandar Petrović Category:Articles with hCards	Nominee
1967 (40th)	I Even Met Happy Gypsies	Skupljači perja	Aleksandar Petrović Category:Articles with hCards	Nominee
1968 (41st)	It Rains in My Village	Biće skoro propast sveta	Aleksandar Petrović Category:Articles with hCards	Not Nominated
1969 (42nd)	The Battle of Neretva	Bitka na Neretvi	Veljko Bulajić Category:Articles with hCards	Nominee
1971 (44th)	Black Seed	Crno seme	Kiril Cenevski Category:Articles with hCards	Not Nominated
1972 (45th)	The Master and Margaret	Maestro i Margarita	Aleksandar Petrović Category:Articles with hCards	Not Nominated
1973 (46th)	The Battle of Sutjeska	Sutjeska	Stipe Delić Category:Articles with hCards	Not Nominated
1974 (47th)	The Dervish and Death	Derviš i smrt	Zdravko Velimirović Category:Articles with hCards	Not Nominated
1975 (48th)	The Day That Shook the World	Sarajevski atentat	Veljko Bulajić Category:Articles with hCards	Not Nominated
1976 (49th)	The Rat Savior	Izbavitelj	Krsto Papić Category:Articles with hCards	Not Nominated
1978 (51st)	Occupation in 26 Pictures	Okupacija u 26 slika	Lordan Zafranović Category:Articles with hCards	Not Nominated
1979 (52nd)	The Man to Destroy	Čovjek koga treba ubiti	Veljko Bulajić Category:Articles with hCards	Not Nominated
1980 (53rd)	Special Treatment	Poseban tretman	Goran Paskaljević Category:Articles with hCards	Not Nominated
1981 (54th)	Do You Remember Dolly Bell?	Sjećaš li se Dolly Bell?	Emir Kusturica Category:Articles with hCards	Not Nominated
1982 (55th)	The Smell of Quinces	Miris dunja	Mirza Idrizović Category:Articles with hCards	Not Nominated
1983 (56th)	Great Transport	Veliki transport	Veljko Bulajić Category:Articles with hCards	Not Nominated
1984 (57th)	The End of War	Kraj rata	Dragan Kresoja Category:Articles with hCards	Not Nominated
1985 (58th)	When Father Was Away on Business	Otac na službenom putu	Emir Kusturica Category:Articles with hCards	Nominee
1986 (59th)	Happy New Year '49	Srećna nova '49	Stole Popov Category:Articles with hCards	Not Nominated
1987 (60th)	Reflections	Već viđeno	Goran Marković Category:Articles with hCards	Not Nominated
1988 (61st)	My Uncle's Legacy	Život sa stricem	Krsto Papić Category:Articles with hCards	Not Nominated
1989 (62nd)	Time of the Gypsies	Dom za vešanje	Emir Kusturica Category:Articles with hCards	Not Nominated
1990 (63rd)	Time of Miracles	Vreme čuda	Goran Paskaljević Category:Articles with hCards	Not Nominated
1991 (64th)	The Original of the Forgery	Original falsifikata	Dragan Kresoja Category:Articles with hCards	Not Nominated
