Edition	Round	Date	Against	Surface	Opponent	W/L	Result
2008 Davis Cup Europe/Africa Group II	QF	18–20 July 2008	Cyprus	Clay	Eleftherios Christou	Win	6–3, 6–3
2008 Davis Cup Europe/Africa Group II	SF	19–21 September 2008	Ukraine	Hard	Illya Marchenko	Loss	3–6, 3–6
2009 Davis Cup Europe/Africa Group II	1R	6–8 March 2009	Cyprus	Hard	Philippos Tsangaridis	Win	6–3, 6–1
2009 Davis Cup Europe/Africa Group II	GII PO	10–12 July 2009	Algeria	Clay	Sid-Ali Akkal	Win	6–3, 6–0
2010 Davis Cup Europe/Africa Group II	QF	9–11 July 2010	Cyprus	Clay	Eleftherios Christou	Win	6–1, 6–0
2010 Davis Cup Europe/Africa Group II	SF	17–19 September 2010	Bosnia and Herzegovina	Clay	Damir Džumhur	Loss	6–4, 4–6, 1–6
2011 Davis Cup Europe/Africa Group I	1R	4–6 March 2011	Slovakia	Clay	Martin Kližan	Win	6–2, 4–1, ret
2011 Davis Cup Europe/Africa Group I	2R	8–10 July 2011	Switzerland	Hard	Marco Chiudinelli	Loss	3–6, 4–6
2012 Davis Cup Europe/Africa Group I	2R	6–8 April 2012	Israel	Hard	Andy Ram	Win	7–5, 6–0
2012 Davis Cup Europe/Africa Group I	GI PO	14–16 September 2012	Slovakia	Hard	Lukas Lacko	Win	6–4, 6–4, 6–3
2012 Davis Cup Europe/Africa Group I	GI PO	14–16 September 2012	Slovakia	Hard	Martin Kližan	Loss	2–6, 5–7, 7–6 (11–9) , 1–6
2013 Davis Cup Europe/Africa Group II	1R	1–3 February 2013	Benin	Clay	Loic Didavi	Win	6–1, 6–3, 6–0
2013 Davis Cup Europe/Africa Group II	3R	13–15 September 2013	Moldova	Hard	Maxim Dubarenco	Win	6–7 (4–7) , 7–6 (7–4) , 6–1, 6–4
